,Source,Target,Weight
372,valorant_kr,wkgml,778
373,valorant_kr,sinatraa,764
374,valorant_kr,hanryang1125,1164
376,valorant_kr,2chamcham2,855
377,valorant_kr,yapyap30,795
378,valorant_kr,rngudwnswkd,1094
379,valorant_kr,pjs9073,1222
380,valorant_kr,handongsuk,1455
381,valorant_kr,pacific8815,697
382,valorant_kr,cherrypach,535
383,valorant_kr,9ambler,516
384,valorant_kr,obm1025,1194
385,valorant_kr,woowakgood,1146
387,valorant_kr,bbonge_,510
388,valorant_kr,tmxk319,1123
390,valorant_kr,leechunhyang,764
392,valorant_kr,jdm2088,715
393,valorant_kr,rkdwl12,585
395,valorant_kr,ddahyoni,797
397,valorant_kr,jinu6734,736
399,valorant_kr,gongparipa,749
400,valorant_kr,saddummy,883
401,valorant_kr,valorant_jpn,598
402,valorant_kr,zilioner,989
403,valorant_kr,runner0608,791
404,valorant_kr,nokduro,778
405,valorant_kr,paka9999,854
406,valorant_kr,ch1ckenkun,925
407,valorant_kr,aba4647,667
408,valorant_kr,shroud,1261
409,valorant_kr,silphtv,653
410,valorant_kr,95pingman,588
411,valorant_kr,nanayango3o,524
412,valorant_kr,kumikomii,575
414,valorant_kr,dda_ju,614
480,relaxing234,takesipon,5338
481,relaxing234,brothers_baseball,3038
483,relaxing234,momo_sports,2800
484,relaxing234,crazyfacetw,1763
485,relaxing234,xhibaoger,7768
486,relaxing234,longwu1216,568
487,relaxing234,wtf_winds123,8093
490,relaxing234,mayapie1,1029
492,relaxing234,gearbaby1010,13587
493,relaxing234,breeze0920,2486
495,relaxing234,yuniko0720,3066
496,relaxing234,sneakylol,674
498,relaxing234,beryl_lulu,6804
499,relaxing234,boxbox,759
500,relaxing234,sixwong,3425
501,relaxing234,nein1203,1889
502,relaxing234,mobilmobil,5869
504,relaxing234,carry_game,10753
506,relaxing234,sweetcampercs,6938
507,relaxing234,uzra,6547
508,relaxing234,midbeast,554
509,relaxing234,kannachan524,4079
510,relaxing234,slrabbit99,2229
511,relaxing234,wayne75525,5293
513,relaxing234,failverde,4028
514,relaxing234,franchiseglobalart,1554
515,relaxing234,bbbb87,7067
516,relaxing234,lyon3k,1203
517,relaxing234,albislol,1838
519,relaxing234,kentung,3315
520,relaxing234,jielun1215,975
521,relaxing234,shuteye_orange,4413
523,relaxing234,blusewilly_retry,6701
524,relaxing234,jeffnam1129,795
525,relaxing234,haxxnini,1945
527,relaxing234,chodan_,615
532,relaxing234,guanweiboy,7272
533,relaxing234,inkiiing,1397
534,relaxing234,linfufu,2421
536,relaxing234,jongie,1206
537,relaxing234,woohankyung,1750
539,relaxing234,chen810830,3933
542,relaxing234,ggbb528,5105
544,relaxing234,zhiting_li,7425
546,relaxing234,mimiluckying,1466
547,relaxing234,zrush,5003
548,relaxing234,roieee,3719
550,relaxing234,zondalol,1454
551,relaxing234,waitou1117,745
552,relaxing234,qttsix,4034
553,relaxing234,et_1231,9098
554,relaxing234,a541021,3789
555,relaxing234,hipudding1223,1027
558,relaxing234,muse_tw,3674
559,relaxing234,qq7925168,4203
560,relaxing234,butterflyouo,5244
562,relaxing234,loltyler1,1668
563,relaxing234,zynxyz,758
564,relaxing234,sooflower,1468
565,relaxing234,bebelolz,9820
567,relaxing234,lilballzlolz,1781
569,relaxing234,shroud,1622
570,relaxing234,chiawei1031tv,1952
571,relaxing234,xargon0731,8340
572,relaxing234,kyo1984123,5211
575,relaxing234,gunguno,4295
576,relaxing234,kr1stw,1410
579,relaxing234,mr_wuco,3225
580,relaxing234,aceu,1041
582,relaxing234,q158688920,2185
583,relaxing234,lol_nemesis,564
584,relaxing234,kiss_850722,1488
586,relaxing234,godjj,10206
587,relaxing234,kamiyu666,845
588,relaxing234,dogdog,1016
589,relaxing234,lolpacifictw,1681
590,relaxing234,bamow,916
1865,elreyguiri_f1,elxokas,1359
1871,elreyguiri_f1,auronplay,1407
1872,elreyguiri_f1,ibai,3250
1874,snow_hite,ses836,705
1875,snow_hite,rudbeckia7,591
1876,snow_hite,liok0485,705
1877,snow_hite,wkgml,5688
1878,snow_hite,hanryang1125,817
1879,snow_hite,h920103,2526
1880,snow_hite,2chamcham2,7885
1881,snow_hite,yapyap30,771
1882,snow_hite,dogswellfish,960
1883,snow_hite,rngudwnswkd,995
1884,snow_hite,pjs9073,6322
1885,snow_hite,naseongkim,888
1886,snow_hite,flamekr,541
1887,snow_hite,handongsuk,2130
1888,snow_hite,dkwl025,1811
1889,snow_hite,rooftopcat99,635
1890,snow_hite,pacific8815,1050
1891,snow_hite,cherrypach,6123
1892,snow_hite,lovelyyeon,598
1893,snow_hite,johnny3047258,1261
1894,snow_hite,9ambler,2847
1895,snow_hite,obm1025,2081
1896,snow_hite,woowakgood,741
1897,snow_hite,bbonge_,5769
1898,snow_hite,tmxk319,974
1899,snow_hite,ao_o5,3205
1900,snow_hite,yumyumyu77,614
1901,snow_hite,hejin0_0,2785
1902,snow_hite,leechunhyang,3222
1903,snow_hite,collet11,4171
1904,snow_hite,bighead033,584
1905,snow_hite,haxxnini,567
1906,snow_hite,chodan_,568
1907,snow_hite,lol_woolf,594
1909,snow_hite,jdm2088,969
1910,snow_hite,sonycast_,662
1911,snow_hite,rkdwl12,2945
1912,snow_hite,ddahyoni,868
1913,snow_hite,woohankyung,659
1914,snow_hite,lol_ambition,613
1915,snow_hite,msmsms213,791
1916,snow_hite,jinu6734,7108
1917,snow_hite,gongparipa,4030
1919,snow_hite,saddummy,2151
1920,snow_hite,nodolly,1535
1922,snow_hite,zilioner,732
1923,snow_hite,runner0608,1592
1924,snow_hite,sal_gu,636
1925,snow_hite,portialyn,540
1926,snow_hite,sah_yang,4706
1927,snow_hite,nokduro,995
1928,snow_hite,mlchoins,622
1929,snow_hite,paka9999,781
1930,snow_hite,kimdduddi,4327
1931,snow_hite,ch1ckenkun,878
1932,snow_hite,sooflower,599
1933,snow_hite,magenta62,927
1934,snow_hite,aba4647,509
1935,snow_hite,ma_mwa,2382
1936,snow_hite,mister903,528
1937,snow_hite,silphtv,3113
1938,snow_hite,hatsalsal,522
1939,snow_hite,yd0821,521
1940,snow_hite,95pingman,1548
1941,snow_hite,nanayango3o,5436
1942,snow_hite,kumikomii,6329
1943,snow_hite,kuiki771,5438
1944,snow_hite,s1032204,5225
1946,snow_hite,dda_ju,2169
1947,snow_hite,rkdthdus930,826
1948,biyin_,blackelespanolito,1198
1949,biyin_,goncho,1528
1954,biyin_,elxokas,8909
1955,biyin_,keznit1,674
1960,biyin_,8cho,17513
1965,biyin_,pgod,1268
1967,biyin_,evaanna,587
1968,biyin_,juansguarnizo,84157
1972,biyin_,elded,8552
1974,biyin_,unicornio,884
1975,biyin_,coscu,3942
1976,biyin_,k1ng,610
1981,biyin_,selis13,1336
1987,biyin_,aroyitt,2929
1989,biyin_,natalan,1742
1992,biyin_,karchez,12667
1993,biyin_,mrstiventc,1215
2009,biyin_,littleragergirl,2194
2010,biyin_,gonsabellla,1893
2012,biyin_,ryux,578
2022,biyin_,sirolopez56,938
2035,biyin_,sujagg,2180
2036,biyin_,komanche,5746
2037,biyin_,rickyedit,707
2042,biyin_,auronplay,130019
2059,biyin_,loltyler1,603
2065,biyin_,shroud,1084
2066,biyin_,momonkunn,1722
2073,biyin_,ibai,86156
2074,biyin_,mery_soldier,1037
2076,biyin_,alexelcapo,1381
2080,biyin_,pokimane,661
2082,biyin_,grafo,587
2088,biyin_,knekro,2597
2092,biyin_,valorant_la,586
2094,biyin_,yosoyricklive,502
2106,masondota2,sinatraa,843
2107,masondota2,ds_lily,572
2108,masondota2,singsing,4768
2115,masondota2,sneakylol,604
2121,masondota2,sodapoppin,3179
2123,masondota2,iltw1,2120
2129,masondota2,sashagrey,530
2133,masondota2,s1mple,1183
2140,masondota2,melina,583
2142,masondota2,awfdota,1030
2144,masondota2,bratiki94,644
2148,masondota2,cdewx,504
2149,masondota2,richwcampbell,587
2151,masondota2,casimito,516
2152,masondota2,icebergdoto,3184
2153,masondota2,summit1g,2346
2157,masondota2,magical,998
2162,masondota2,k13tv,1152
2164,masondota2,toeiii,605
2182,masondota2,ybicanoooobov,1469
2187,masondota2,buddha,604
2191,masondota2,pokelawls,642
2199,masondota2,39daph,772
2202,masondota2,loltyler1,1611
2204,masondota2,forsen,2786
2207,masondota2,shroud,6337
2209,masondota2,zackrawrr,746
2212,masondota2,tarik,1526
2216,masondota2,generalqw,1266
2217,masondota2,aceu,947
2218,masondota2,pokimane,880
2219,masondota2,lelisdota,5235
2223,masondota2,moistcr1tikal,763
2224,masondota2,superjj102,678
2229,masondota2,dogdog,1425
2359,ses836,rudbeckia7,2107
2360,ses836,jmjdoc,1402
2361,ses836,liok0485,644
2362,ses836,falgwang,572
2363,ses836,lol_cuvee,778
2364,ses836,wkgml,1408
2365,ses836,so_urf,5299
2366,ses836,hanryang1125,9375
2367,ses836,h920103,1653
2368,ses836,qq102qq,561
2370,ses836,pikra10,1571
2371,ses836,2chamcham2,3099
2372,ses836,yapyap30,11454
2373,ses836,dogswellfish,3003
2374,ses836,rngudwnswkd,602
2375,ses836,pjs9073,6794
2376,ses836,naseongkim,5926
2377,ses836,flamekr,6488
2378,ses836,lol_madlife,1817
2379,ses836,handongsuk,13995
2380,ses836,torona1,1561
2381,ses836,109ace,4970
2382,ses836,bking0921,1045
2384,ses836,dawnhs,1169
2385,ses836,rooftopcat99,3506
2386,ses836,pacific8815,8497
2387,ses836,kanetv8,1914
2388,ses836,cherrypach,1529
2389,ses836,lovelyyeon,1441
2390,ses836,johnny3047258,3798
2391,ses836,9ambler,806
2392,ses836,obm1025,1636
2393,ses836,kranichhs,819
2394,ses836,woowakgood,1384
2395,ses836,bbonge_,1469
2396,ses836,tmxk319,3683
2397,ses836,yumyumyu77,6158
2398,ses836,steelohs,912
2399,ses836,nanajam777,756
2400,ses836,leehunnyeo,995
2401,ses836,kangqui,1609
2402,ses836,kimdoe,4651
2403,ses836,hejin0_0,1356
2404,ses836,ljh0328,943
2405,ses836,leechunhyang,2895
2406,ses836,collet11,931
2407,ses836,haxxnini,819
2408,ses836,acro_land,857
2409,ses836,chodan_,669
2410,ses836,lol_woolf,1862
2412,ses836,rhffkddl96,769
2413,ses836,sizer0346,753
2414,ses836,dua3362,516
2415,ses836,ajehr,1923
2417,ses836,jdm2088,541
2418,ses836,sonycast_,3654
2419,ses836,rkdwl12,579
2420,ses836,ddahyoni,14311
2421,ses836,woohankyung,893
2422,ses836,lol_ambition,2442
2423,ses836,jinu6734,1730
2424,ses836,gongparipa,666
2425,ses836,surrenderhs,1180
2427,ses836,zzamtiger0310,1806
2428,ses836,saddummy,7784
2430,ses836,nodolly,3883
2432,ses836,flurry1989,7331
2433,ses836,kss7749,3203
2434,ses836,zilioner,8873
2435,ses836,looksam,6389
2436,ses836,runner0608,9818
2437,ses836,sal_gu,2507
2438,ses836,portialyn,4848
2439,ses836,sees360,540
2440,ses836,sah_yang,682
2441,ses836,sn400ja,910
2442,ses836,nokduro,5487
2443,ses836,pusa6019,582
2444,ses836,mlchoins,792
2445,ses836,paka9999,2494
2446,ses836,kimdduddi,945
2447,ses836,ch1ckenkun,2126
2448,ses836,airshowerse,566
2449,ses836,sooflower,1047
2450,ses836,magenta62,578
2451,ses836,aba4647,1616
2452,ses836,ma_mwa,597
2453,ses836,mister903,1109
2454,ses836,silphtv,607
2455,ses836,crazzyccat,1747
2456,ses836,moogrr1211,512
2457,ses836,hatsalsal,1711
2458,ses836,xkwhd,1709
2459,ses836,yd0821,875
2460,ses836,nanayango3o,1117
2461,ses836,tranth,1670
2463,ses836,kumikomii,946
2464,ses836,kuiki771,819
2465,ses836,s1032204,1999
2466,ses836,inecr7024,992
2468,ses836,dda_ju,6149
2469,ses836,baedony,1321
2470,ses836,rkdthdus930,7105
2471,ses836,jungtaejune,2614
2473,blackelespanolito,goncho,1174
2478,blackelespanolito,elxokas,4307
2479,blackelespanolito,keznit1,6047
2480,blackelespanolito,sinatraa,2938
2484,blackelespanolito,8cho,854
2488,blackelespanolito,pgod,707
2489,blackelespanolito,juansguarnizo,3683
2492,blackelespanolito,elded,1392
2493,blackelespanolito,unicornio,821
2494,blackelespanolito,coscu,2651
2495,blackelespanolito,k1ng,584
2506,blackelespanolito,s1mple,1049
2514,blackelespanolito,littleragergirl,1681
2515,blackelespanolito,gonsabellla,786
2516,blackelespanolito,ryux,637
2520,blackelespanolito,belvid,503
2537,blackelespanolito,sujagg,5988
2539,blackelespanolito,rickyedit,1079
2544,blackelespanolito,auronplay,6017
2548,blackelespanolito,dapr,1077
2561,blackelespanolito,shroud,3187
2564,blackelespanolito,tarik,718
2567,blackelespanolito,ibai,9992
2568,blackelespanolito,mery_soldier,637
2570,blackelespanolito,alexelcapo,1606
2573,blackelespanolito,pokimane,962
2575,blackelespanolito,grafo,682
2576,blackelespanolito,knekro,2016
2579,blackelespanolito,valorant_la,3094
2588,goncho,elxokas,5287
2589,goncho,keznit1,1387
2591,goncho,8cho,1359
2595,goncho,juansguarnizo,4286
2598,goncho,elded,1030
2600,goncho,unicornio,18463
2601,goncho,coscu,37177
2602,goncho,k1ng,2627
2608,goncho,karchez,644
2612,goncho,s1mple,935
2622,goncho,hastad,699
2627,goncho,littleragergirl,994
2628,goncho,gonsabellla,719
2629,goncho,c0ker,6539
2630,goncho,okyyy,3780
2647,goncho,alberee,737
2657,goncho,sujagg,748
2663,goncho,auronplay,8898
2675,goncho,loltyler1,759
2683,goncho,shroud,1867
2687,goncho,ibai,22314
2688,goncho,mery_soldier,1250
2690,goncho,alexelcapo,2116
2694,goncho,grafo,9413
2695,goncho,lol_nemesis,533
2697,goncho,knekro,1782
2701,goncho,valorant_la,1124
2801,curvyelephant,kyliebitkin,3753
2810,curvyelephant,sodapoppin,2347
2823,curvyelephant,summit1g,2450
2841,curvyelephant,iddqd,1072
2848,curvyelephant,buddha,3916
2850,curvyelephant,koil,4062
2853,curvyelephant,fuslie,501
2854,curvyelephant,roflgator,743
2858,curvyelephant,bananabrea,2326
2860,curvyelephant,shroud,1431
2862,curvyelephant,cyr,884
2863,curvyelephant,adeptthebest,3162
2870,bt0tv,pijack11,1322
2871,bt0tv,mount,1263
2872,bt0tv,ookina,770
2873,bt0tv,liminhag0d,32984
2875,bt0tv,jukes,3339
2879,bt0tv,tteuw,1057
2881,bt0tv,paulanobre,2107
2883,bt0tv,takeshi,837
2885,bt0tv,yang,826
2888,bt0tv,gratis150ml,2980
2893,bt0tv,shinimon,962
2895,bt0tv,s1mple,4418
2898,bt0tv,nahzinhaa,14669
2899,bt0tv,loud_coringa,3651
2904,bt0tv,hastad,1462
2906,bt0tv,pulgaboy,770
2910,bt0tv,deercheerup,25018
2912,bt0tv,nuuhfps,724
2913,bt0tv,suetam1v4,728
2914,bt0tv,casimito,26520
2915,bt0tv,shayvictorioo,690
2916,bt0tv,danoc0,4225
2919,bt0tv,frttt,2995
2922,bt0tv,calango,1342
2923,bt0tv,k13tv,750
2930,bt0tv,coldzin,8815
2932,bt0tv,revolta,2610
2933,bt0tv,boltz,7718
2936,bt0tv,loud_thurzin,643
2937,bt0tv,luidematos,1373
2948,bt0tv,gamersclubcs,1619
2949,bt0tv,cidcidoso,4311
2950,bt0tv,sacy,3874
2956,bt0tv,nowayzao,3662
2963,bt0tv,pimpimenta,1491
2965,bt0tv,absoluttlol,563
2968,bt0tv,shroud,3537
2972,bt0tv,tarik,1418
2974,bt0tv,c9judite,709
2976,bt0tv,lelisdota,541
2977,bt0tv,gafallen,14013
2978,bt0tv,brasilfpss,701
2979,bt0tv,alanzoka,10807
2980,bt0tv,oestagiario,12061
2981,bt0tv,yayahuz,11457
3039,takesipon,brothers_baseball,1336
3041,takesipon,momo_sports,984
3042,takesipon,crazyfacetw,1084
3044,takesipon,xhibaoger,3809
3045,takesipon,wtf_winds123,4228
3047,takesipon,mayapie1,578
3049,takesipon,gearbaby1010,2946
3050,takesipon,breeze0920,751
3052,takesipon,yuniko0720,2077
3054,takesipon,beryl_lulu,3704
3055,takesipon,boxbox,586
3056,takesipon,sixwong,2668
3057,takesipon,nein1203,2390
3058,takesipon,mobilmobil,5200
3060,takesipon,carry_game,3137
3062,takesipon,sweetcampercs,4451
3063,takesipon,uzra,6968
3064,takesipon,kannachan524,2036
3065,takesipon,slrabbit99,1860
3066,takesipon,wayne75525,1840
3068,takesipon,failverde,4471
3069,takesipon,franchiseglobalart,1059
3070,takesipon,bbbb87,2666
3072,takesipon,lyon3k,5731
3073,takesipon,albislol,1585
3075,takesipon,kentung,2354
3076,takesipon,jielun1215,627
3077,takesipon,shuteye_orange,4463
3078,takesipon,blusewilly_retry,8263
3079,takesipon,jeffnam1129,693
3081,takesipon,haxxnini,1195
3087,takesipon,guanweiboy,2983
3088,takesipon,inkiiing,1506
3089,takesipon,linfufu,1605
3090,takesipon,jongie,2840
3091,takesipon,woohankyung,744
3092,takesipon,chen810830,2187
3093,takesipon,ggbb528,1565
3095,takesipon,zhiting_li,2883
3097,takesipon,mimiluckying,1223
3098,takesipon,zrush,9396
3099,takesipon,roieee,2797
3101,takesipon,zondalol,1538
3102,takesipon,waitou1117,716
3103,takesipon,qttsix,5578
3104,takesipon,et_1231,2776
3105,takesipon,sal_gu,711
3106,takesipon,a541021,3136
3107,takesipon,hipudding1223,2353
3110,takesipon,muse_tw,2696
3111,takesipon,qq7925168,3543
3112,takesipon,butterflyouo,1440
3114,takesipon,loltyler1,603
3115,takesipon,zynxyz,660
3116,takesipon,tetristhegrandmaster3,637
3117,takesipon,sooflower,856
3118,takesipon,bebelolz,2327
3120,takesipon,lilballzlolz,1225
3122,takesipon,shroud,1420
3123,takesipon,chiawei1031tv,927
3124,takesipon,xargon0731,8393
3125,takesipon,kyo1984123,4100
3128,takesipon,gunguno,2626
3129,takesipon,kr1stw,1344
3131,takesipon,mr_wuco,2470
3132,takesipon,aceu,816
3134,takesipon,q158688920,3209
3135,takesipon,kiss_850722,1572
3136,takesipon,godjj,4585
3137,takesipon,kamiyu666,946
3138,takesipon,dogdog,1077
3139,takesipon,lolpacifictw,510
3140,takesipon,bamow,1101
3558,just_ns,9impulse,635
3565,just_ns,dinablin,919
3566,just_ns,shtan_udachi,1135
3569,just_ns,buster,1919
3574,just_ns,sodapoppin,529
3576,just_ns,iltw1,852
3583,just_ns,olyashaa,1674
3584,just_ns,s1mple,1147
3585,just_ns,melharucos,5215
3588,just_ns,awfdota,2734
3590,just_ns,bratiki94,1789
3592,just_ns,icebergdoto,6364
3596,just_ns,magical,1087
3602,just_ns,orkpod,944
3614,just_ns,guit88man,2735
3615,just_ns,fritterus,683
3618,just_ns,ybicanoooobov,4273
3619,just_ns,mistercop,506
3623,just_ns,fasoollka,533
3626,just_ns,cheatbanned,1098
3630,just_ns,forsen,627
3631,just_ns,mistafaker,2650
3633,just_ns,shroud,1146
3639,just_ns,generalqw,2692
3641,just_ns,follentass,553
3644,just_ns,elwycco,821
3649,just_ns,pathofexilebota,880
3655,crokeyz,sneakylol,630
3659,crokeyz,sodapoppin,1172
3661,crokeyz,midbeast,671
3669,crokeyz,summit1g,823
3670,crokeyz,jorbs,638
3679,crokeyz,btssmash,644
3683,crokeyz,bmkibler,564
3689,crokeyz,loltyler1,846
3690,crokeyz,forsen,732
3691,crokeyz,shroud,1739
3695,crokeyz,aspiringspike,1865
3696,crokeyz,moistcr1tikal,504
3699,crokeyz,dogdog,847
3764,muangfang,viperdemon,1227
3768,muangfang,dmt_tv,1495
3771,muangfang,vanotica_,1744
3772,muangfang,mitdamm,600
3830,rudbeckia7,jmjdoc,1250
3831,rudbeckia7,wkgml,1118
3832,rudbeckia7,hanryang1125,5541
3833,rudbeckia7,h920103,740
3834,rudbeckia7,2chamcham2,1814
3835,rudbeckia7,yapyap30,1362
3836,rudbeckia7,dogswellfish,2078
3837,rudbeckia7,rngudwnswkd,773
3838,rudbeckia7,pjs9073,2303
3839,rudbeckia7,naseongkim,2379
3840,rudbeckia7,zoodasa,824
3841,rudbeckia7,handongsuk,3292
3842,rudbeckia7,dkwl025,800
3843,rudbeckia7,torona1,1093
3844,rudbeckia7,109ace,1400
3846,rudbeckia7,rooftopcat99,2884
3847,rudbeckia7,pacific8815,2978
3848,rudbeckia7,kanetv8,1746
3849,rudbeckia7,cherrypach,1682
3850,rudbeckia7,lovelyyeon,3085
3851,rudbeckia7,johnny3047258,771
3852,rudbeckia7,9ambler,686
3853,rudbeckia7,obm1025,1050
3854,rudbeckia7,woowakgood,1348
3855,rudbeckia7,bbonge_,699
3856,rudbeckia7,tmxk319,700
3857,rudbeckia7,yumyumyu77,3109
3858,rudbeckia7,nanajam777,1099
3859,rudbeckia7,leehunnyeo,1422
3860,rudbeckia7,kimdoe,3604
3861,rudbeckia7,hejin0_0,982
3862,rudbeckia7,leechunhyang,1175
3863,rudbeckia7,collet11,755
3864,rudbeckia7,haxxnini,1021
3865,rudbeckia7,chodan_,564
3868,rudbeckia7,ajehr,1910
3870,rudbeckia7,jdm2088,559
3871,rudbeckia7,sonycast_,4266
3872,rudbeckia7,rkdwl12,880
3873,rudbeckia7,ddahyoni,1734
3874,rudbeckia7,woohankyung,673
3875,rudbeckia7,lol_ambition,940
3876,rudbeckia7,jinu6734,1403
3877,rudbeckia7,gongparipa,512
3879,rudbeckia7,zzamtiger0310,2194
3880,rudbeckia7,saddummy,7494
3881,rudbeckia7,nodolly,915
3882,rudbeckia7,flurry1989,1100
3883,rudbeckia7,kss7749,2138
3884,rudbeckia7,zilioner,3364
3885,rudbeckia7,looksam,695
3886,rudbeckia7,runner0608,1729
3887,rudbeckia7,sal_gu,1645
3888,rudbeckia7,portialyn,1003
3889,rudbeckia7,sees360,549
3890,rudbeckia7,sah_yang,956
3891,rudbeckia7,alenenwooptv,520
3892,rudbeckia7,sn400ja,577
3893,rudbeckia7,nokduro,3546
3894,rudbeckia7,paka9999,698
3895,rudbeckia7,ch1ckenkun,923
3896,rudbeckia7,sooflower,1589
3897,rudbeckia7,magenta62,1128
3898,rudbeckia7,ma_mwa,831
3899,rudbeckia7,mister903,1058
3900,rudbeckia7,hatsalsal,3150
3901,rudbeckia7,nanayango3o,1551
3902,rudbeckia7,tranth,1814
3904,rudbeckia7,kumikomii,1924
3905,rudbeckia7,kuiki771,691
3906,rudbeckia7,s1032204,1510
3908,rudbeckia7,dda_ju,827
3909,rudbeckia7,rkdthdus930,1523
3910,rudbeckia7,jungtaejune,2163
3911,pijack11,mount,560
3912,pijack11,ookina,1510
3913,pijack11,liminhag0d,984
3914,pijack11,jukes,10917
3918,pijack11,tteuw,718
3919,pijack11,paulanobre,1292
3921,pijack11,takeshi,2941
3922,pijack11,sneakylol,615
3924,pijack11,yang,2590
3925,pijack11,gratis150ml,4977
3930,pijack11,midbeast,742
3931,pijack11,shinimon,3166
3933,pijack11,loud_coringa,883
3935,pijack11,hastad,1932
3939,pijack11,deercheerup,1214
3941,pijack11,casimito,5753
3942,pijack11,frttt,1284
3944,pijack11,calango,1056
3951,pijack11,revolta,6285
3960,pijack11,cidcidoso,856
3962,pijack11,sacy,2186
3967,pijack11,pimpimenta,4261
3968,pijack11,loltyler1,1060
3969,pijack11,absoluttlol,1513
3970,pijack11,shroud,1124
3974,pijack11,c9judite,975
3975,pijack11,gafallen,724
3976,pijack11,alanzoka,6105
3977,pijack11,oestagiario,1082
3978,pijack11,lol_nemesis,767
3979,pijack11,klauslol1,1268
3980,pijack11,yayahuz,1000
4093,edenitoo,isamu,1486
4097,edenitoo,remsua,3022
4100,edenitoo,xth0rek,6274
4101,edenitoo,holak1337,572
4103,edenitoo,xmerghani,1023
4108,edenitoo,vysotzky,649
4116,edenitoo,pisicela,7401
4698,brothers_baseball,momo_sports,15175
4699,brothers_baseball,crazyfacetw,504
4700,brothers_baseball,xhibaoger,2511
4701,brothers_baseball,wtf_winds123,1716
4703,brothers_baseball,gearbaby1010,1846
4704,brothers_baseball,yuniko0720,1211
4705,brothers_baseball,beryl_lulu,2225
4706,brothers_baseball,sixwong,831
4707,brothers_baseball,nein1203,920
4708,brothers_baseball,mobilmobil,1749
4709,brothers_baseball,carry_game,3230
4711,brothers_baseball,sweetcampercs,1731
4712,brothers_baseball,uzra,1915
4713,brothers_baseball,kannachan524,1393
4714,brothers_baseball,slrabbit99,1485
4715,brothers_baseball,wayne75525,1324
4716,brothers_baseball,failverde,1017
4717,brothers_baseball,franchiseglobalart,850
4718,brothers_baseball,bbbb87,1992
4719,brothers_baseball,albislol,694
4721,brothers_baseball,kentung,778
4722,brothers_baseball,shuteye_orange,1445
4723,brothers_baseball,blusewilly_retry,1771
4724,brothers_baseball,haxxnini,1069
4728,brothers_baseball,guanweiboy,2174
4729,brothers_baseball,inkiiing,671
4730,brothers_baseball,linfufu,1652
4731,brothers_baseball,woohankyung,708
4732,brothers_baseball,chen810830,1785
4733,brothers_baseball,ggbb528,841
4735,brothers_baseball,zhiting_li,3072
4737,brothers_baseball,mimiluckying,538
4738,brothers_baseball,zrush,1183
4739,brothers_baseball,roieee,1019
4740,brothers_baseball,qttsix,1107
4741,brothers_baseball,et_1231,2392
4742,brothers_baseball,a541021,1643
4744,brothers_baseball,muse_tw,1139
4745,brothers_baseball,qq7925168,1811
4746,brothers_baseball,butterflyouo,1217
4747,brothers_baseball,sooflower,846
4748,brothers_baseball,bebelolz,1233
4749,brothers_baseball,lilballzlolz,527
4750,brothers_baseball,shroud,657
4751,brothers_baseball,chiawei1031tv,713
4752,brothers_baseball,xargon0731,3306
4753,brothers_baseball,kyo1984123,2355
4756,brothers_baseball,gunguno,1785
4757,brothers_baseball,kr1stw,858
4759,brothers_baseball,mr_wuco,946
4761,brothers_baseball,q158688920,1016
4762,brothers_baseball,kiss_850722,599
4763,brothers_baseball,godjj,1924
4764,brothers_baseball,dogdog,565
4765,brothers_baseball,lolpacifictw,738
4943,jmjdoc,hanryang1125,5027
4944,jmjdoc,yapyap30,1092
4945,jmjdoc,dogswellfish,1872
4946,jmjdoc,genius_mad,507
4947,jmjdoc,pjs9073,887
4948,jmjdoc,naseongkim,2098
4949,jmjdoc,handongsuk,2279
4950,jmjdoc,torona1,713
4951,jmjdoc,109ace,1036
4953,jmjdoc,rooftopcat99,2233
4954,jmjdoc,pacific8815,1577
4955,jmjdoc,kanetv8,790
4956,jmjdoc,lovelyyeon,827
4957,jmjdoc,woowakgood,602
4958,jmjdoc,yumyumyu77,1302
4959,jmjdoc,kimdoe,2690
4960,jmjdoc,sizer0346,1040
4961,jmjdoc,ajehr,725
4962,jmjdoc,sonycast_,1282
4963,jmjdoc,ddahyoni,1406
4964,jmjdoc,lol_ambition,617
4965,jmjdoc,zzamtiger0310,749
4966,jmjdoc,saddummy,3311
4967,jmjdoc,flurry1989,874
4968,jmjdoc,kss7749,3485
4969,jmjdoc,zilioner,2525
4970,jmjdoc,runner0608,1156
4971,jmjdoc,sal_gu,1219
4972,jmjdoc,portialyn,985
4973,jmjdoc,nokduro,2819
4974,jmjdoc,ch1ckenkun,682
4975,jmjdoc,hatsalsal,962
4976,jmjdoc,tranth,1315
4978,jmjdoc,rkdthdus930,887
4979,jmjdoc,jungtaejune,1675
5158,jamezconer,viperdemon,1143
5165,liok0485,lol_cuvee,583
5166,liok0485,wkgml,980
5167,liok0485,hanryang1125,1113
5168,liok0485,qq102qq,871
5169,liok0485,pikra10,831
5170,liok0485,2chamcham2,1673
5171,liok0485,yapyap30,691
5172,liok0485,pjs9073,1336
5173,liok0485,naseongkim,678
5174,liok0485,handongsuk,1522
5175,liok0485,dopa24,567
5176,liok0485,109ace,580
5177,liok0485,rooftopcat99,568
5178,liok0485,pacific8815,1139
5179,liok0485,kanetv8,555
5180,liok0485,cherrypach,1019
5181,liok0485,lovelyyeon,504
5182,liok0485,9ambler,768
