,Channel_Name,Language,Tags,Last Played Game,Game ID,Count
179,freemok2,ru,"['Englísh', 'Русский', 'Українська']",Casino Simulator,1506110656,18298
180,gafallen,pt,"['trybe', 'Português']",Counter-Strike,32399,35814
181,ghazzytv,en,"['english', 'educational', 'Guide', 'drops', 'entertainment', 'fun', 'chill', 'English', 'Teaching']",Path of Exile,29307,15316
182,fps_shaka,ja,"['日本語', 'ネタバレ禁止', 'ネタバレ注意', '大会のネタバレ禁止', '匂わせしないで', '聞いたら教えて']",FINAL FANTASY XIV ONLINE,24241,201687
183,gamergirl,en,['English'],League of Legends,21779,15249
184,genius_mad,ko,['한국어'],Path of Exile,29307,5248
185,fuji720x,en,"['English', 'Football', 'eafc24']",EA Sports FC 24,143106037,10550
186,gearbaby1010,zh,"['主打技術', '顏值還行', '中文', '棋靈王']",Teamfight Tactics,513143,39198
187,ggbb528,zh,"['中文', 'English', '한국어', '訂閱免廣告', '日文']",League of Legends,21779,12456
188,forsen,en,['English'],Black Myth: Wukong,519291,124294
189,frttt,pt,"['Português', 'valorant', 'fps']",Black Myth: Wukong,519291,49384
190,gratis150ml,pt,"['Gratis', 'LOL', 'Português', 'RPG', 'pilates', 'wow', 'Tibia', 'Ravendawn']",Mechabellum,515881069,40735
191,generalqw,ru,"['дофаминовыекачели', 'Украина', 'Русский']",Casino Simulator,1506110656,23323
192,gskianto,it,['Italiano'],I'm Only Sleeping,498592,40118
193,fuslie,en,['English'],fuslie,fuslie,53098
194,gonsabellla,es,['Español'],IRL,509672,16912
195,fr_zod,fr,fr_zod,Just Chatting,509658,4056
196,grenbaud,it,"['Cabaret', 'Improvvisazione', 'Pectus', 'Stempia', 'Italiano']",Just Chatting,509658,56444
197,gamersclubcs,pt,"['Esports', 'Português']",Counter-Strike,32399,3824
198,fragolaqt,it,"['challenger', 'Italiano']",League of Legends,21779,11293
199,goncho,es,['Español'],Just Chatting,509658,77285
200,franchiseglobalart,zh,franchiseglobalart,Just Chatting,509658,7342
201,haxxnini,ko,['한국어'],Just Chatting,509658,26015
202,iltw1,ru,['Русский'],Dota 2,29595,12133
203,hyren7,ko,['한국어'],Just Chatting,509658,5602
204,h920103,ko,['한국어'],Minecraft,27471,11582
205,guanweiboy,zh,['中文'],League of Legends,21779,34661
206,guit88man,ru,"['Русский', 'caliberdrops']",Project MALLOW,1363386179,21492
207,harbleu,en,"['English', 'DropsEnabled']",Overwatch 2,515025,13434
208,hejin0_0,ko,['한국어'],Just Chatting,509658,15993
209,hekokitaiworld,ja,['日本語'],Pawafuru Puro Yakyuu 2024-2025,1183847148,4671
210,gustavocsgoyt,es,"['roleplay', 'gustavocsgo', 'Gustavo', 'RP', 'GTAV', 'serversrp', 'Español', 'Bellum']",Grand Theft Auto V,32982,5928
211,h3h3productions,en,['English'],Just Chatting,509658,437
212,idreau_,fr,['Français'],F1 Manager 2024,1863055416,7482
213,imaqtpie,en,['English'],Teamfight Tactics,513143,74687
214,gunguno,zh,"['顏值', '射擊', '幽默', '大談', '中文', '勞工', '錢來就幹', '夾娃娃', '掉宝開启']",Just Chatting,509658,23005
215,holak1337,pl,['Polski'],Just Chatting,509658,34689
216,hastad,pt,"['lol', 'Challenger', 'Português', 'Español', 'Vayne']",League of Legends,21779,18996
217,ibai,es,"['Español', 'IRL', 'Chatting', 'KOI']",ELDEN RING,512953,778341
218,icebergdoto,ru,"['meedorfeed', 'наборформы', 'iceberg', 'based', 'База', 'Русский']",Dota 2,29595,71998
219,imls,en,"['English', '한국어Korean']",League of Legends,21779,4369
220,heyimbee,en,"['English', 'ViewerRewards']",heyimbee,heyimbee,16735
221,iateyourpie,en,"['Comfy', 'Challenge', 'English']",Nancy Drew: Curse of Blackmoor Manor,16394,10635
222,gutitubo,ja,['日本語'],VALORANT,516575,13331
223,hannahxxrose,en,"['hannahxxrose', 'English', 'minecraft', 'Ally', 'Bedwars', 'awesome', 'gaming', 'LifestealSMP', 'lifesteal']",Minecraft,27471,26727
224,hanryang1125,ko,['한국어'],Spelunky,22619,104997
225,iinwafqht,ar,"['NQ', 'MT', 'saudiarabia', 'Arabic', 'arab', 'Nawaf']",Just Chatting,509658,220
226,hatsalsal,ko,"['korean', '한국어', '슬로우스타터']",Super Mario Maker 2,511399,16688
227,hanjoudesu,ja,['日本語'],VALORANT,516575,38758
228,iddqd,en,"['uwu', 'gigachad', 'aimbot', 'FPS', 'English', 'adhd', 'swedish', 'KEKW', 'pro', 'EnhancedBroadcasting']",Overwatch 2,515025,11244
229,handongsuk,ko,['한국어'],Just Chatting,509658,100941
230,ibabyrainbow,en,"['English', 'IRL', 'California']",Just Chatting,509658,26168
231,hipudding1223,zh,"['聰明丁丁', '中文', '台語', '歹意馬欸通']",Mabinogi,20501,7149
232,its_iron,en,"['Iron', 'English', 'Warzone', 'MWIII']",Call of Duty: Warzone,512710,80552
233,jarnoopmeer,en,"['racing', 'f1', 'English']",Call of Duty: Modern Warfare III,1337444628,20778
234,jmjdoc,ko,"['한국어', 'Vtuber', '개튜버']",Just Chatting,509658,8778
235,inkiiing,zh,"['隨你問', '聊天', '小墨', '人妻', '御姊', '貓', '中文']",Just Chatting,509658,9182
236,ipav999,en,"['English', 'Teemo', 'Educational', 'Toplane', 'leagueoflegends', 'Duolingo', 'Starcraft', 'TowerDefence']",StarCraft,11989,20418
237,isamu,pl,"['Aktorstwogłosowe', 'Polski']",Just Chatting,509658,20995
238,jbzzed,fr,['Français'],VALORANT,516575,38125
239,jpctheman_,en,['English'],World of Warcraft,18122,11219
240,imviolet_,it,"['Italiano', 'horrorgames']",Just Chatting,509658,30293
241,johnny3047258,ko,"['한국어', '데빌헌터']",Lost Ark,490100,25152
242,ipproducoes,pt,['Português'],Minecraft,27471,1496
243,ironmouse,en,"['Anime', 'Singing', 'PuertoRico', 'vshojo', 'Latino', 'vtuber', 'English']",Just Chatting,509658,72246
244,japanese_restream,ja,"['日本語', 'Speedrun', 'RTA']",FINAL FANTASY,7689,217
245,jccaylen,en,"['IRL', 'English']",LOCKDOWN Protocol,144418804,4594
246,inseq,ru,['Русский'],Escape from Tarkov,491931,5205
247,jessirocks,de,['Deutsch'],Diablo IV,515024,18457
248,inet_saju,pl,['Polski'],Black Myth: Wukong,519291,9387
249,iskall85,en,"['English', 'minecraft', 'hermitcraft', 'iskall85', 'vaulthunters']",Minecraft,27471,15333
250,itswill,en,"['tomfoolery', 'hijinks', 'wisecracks', 'Evil', 'English', 'Trickster']",Old School RuneScape,459931,12834
251,jielun1215,zh,"['眼鏡噴飛到大海', 'APEX選手最老', '滷味好吃', '史上最恨外掛', '我只是一塊跳墊', '波黑大將軍', 'DROP', '中文']",Lost Ark,490100,6821
252,jongie,zh,"['Taiwan', '中文']",League of Legends,21779,10513
253,jeffnam1129,zh,['中文'],ELDEN RING,512953,5635
254,jorbs,en,"['spire', 'ascension20', 'English', 'boardgame', 'boardgames', 'slaythespire']",Slay the Spire,496902,15376
255,jamezconer,th,"['ไทย', 'ภาษาไทย', 'Rerun']",VALORANT,516575,9302
256,jcorko_,es,"['Español', 'Roleplay']",Just Chatting,509658,5042
257,jinu6734,ko,['한국어'],Just Chatting,509658,34669
258,inecr7024,ko,['한국어'],Just Chatting,509658,8604
259,jdm2088,ko,['한국어'],Just Chatting,509658,36495
260,jimmyconrad,en,jimmyconrad,Sports,518203,1330
261,jeensoff,ru,"['Ukraine', 'Русский']",Black Myth: Wukong,519291,7428
262,juansguarnizo,es,['Español'],Just Chatting,509658,476599
263,kamiyu666,zh,"['恐怖遊戲', '手殘', '醜男', '非主流', '雜魚', '笨蛋', '腦包', '中文']",Games + Demos,66082,6753
264,kragiee,en,['English'],World of Warcraft,18122,19077
265,kr1stw,zh,"['六九大將軍', '沒有興趣', '嚴厲斥責', '天地良心', '嚴肅', '收看此台以獲得更多健康小秘訣', '中文', '陳男請認罪']",Just Chatting,509658,11240
266,kkatamina,en,"['Chill', 'English', 'Comfy']",VALORANT,516575,37964
267,julien,en,"['English', 'rats', 'Ally', 'short', 'Husband', 'ACTUALTRUCKER', 'babysafe', 'soyboy', 'Aries', 'blackbelt']",Fall Guys,512980,19641
268,k1ng,es,['Español'],Fortnite,33214,29389
269,knueppelpaste,de,"['Lehrreich', 'eigentlichganznett', 'Multiplayer', 'Deutsch', 'SEINICHTDUMM', 'IdiotStreamer', 'nichtdeinebitch', 'einfachichselbst', 'PvP']",Escape from Tarkov,491931,8934
270,krawkmc,pt,['Português'],Just Chatting,509658,40
271,klauslol1,pt,['Português'],League of Legends,21779,7341
272,karlnetwork,en,['English'],Squad Busters,788447527,164572
273,kimdduddi,ko,['한국어'],Just Chatting,509658,18813
274,kranichhs,ko,['한국어'],Just Chatting,509658,8207
275,kutcherlol,de,"['hammergeil', 'superintelligent', 'bescheiden', 'Deutsch']",League of Legends,21779,26597
276,kentung,zh,"['白熊幫主', '訂閱支持', '中文', '遊戲玩家']",Lost Ark,490100,22665
277,kinstaar,fr,"['Français', 'DropsActivés']",Apex Legends,511224,10697
278,kiss_850722,zh,['中文'],Just Chatting,509658,8544
279,kurt0411,en,"['football', 'sports', 'kurt0411', 'messi', 'English', 'premierleague', 'championsleague', 'laliga', 'euro2024']",Sports,518203,6115
280,k3soju,en,['English'],Teamfight Tactics,513143,73703
281,kannachan524,zh,"['中文', '日本語']",VALORANT,516575,20698
282,jungtaejune,ko,['한국어'],Just Chatting,509658,18978
283,kimdoe,ko,['한국어'],Just Chatting,509658,34506
284,jukes,pt,"['Português', 'Jukera']",Virtual Casino,29452,66906
285,karljacobs,en,['English'],ROBLOX,23020,145720
286,kss7749,ko,['한국어'],Just Chatting,509658,27344
287,keanelol,en,['English'],Teamfight Tactics,513143,17905
288,kanetv8,ko,['한국어'],Just Chatting,509658,28609
289,karchez,es,"['Karchez', 'Kar', 'Español', 'Drops']",Just Chatting,509658,49170
290,kato_junichi0817,ja,"['加藤純一', '雑談', '雑談歓迎', '雑談〇', '雑談大好き', '日本語', 'MURASHGAMING', 'MRGWIN']",VALORANT,516575,232446
291,just_lina,en,"['Musician', 'English', 'anime', 'Russian', 'game']",Music,26936,2654
292,kumikomii,ko,['한국어'],Just Chatting,509658,26958
293,knightmar3frame,en,"['frame', 'helping', 'playingwithviewers', 'READ', 'NoBackseating', 'knightmareframe', 'English', 'braincellsrequired']",The First Descendant,2104758320,4809
294,koil,en,['English'],Grand Theft Auto V,32982,54032
295,knekro,es,"['Español', 'Knekrer', 'variety', 'Elmejor', 'CHALLENGER', 'Rarete']",Black Myth: Wukong,519291,84882
296,komanche,es,"['komanche', 'Español']",Just Chatting,509658,23059
297,koreshzy,ru,['Русский'],Just Chatting,509658,20124
298,kennybeats,en,"['MusicTalk', 'MusicProduction', 'makingbeatslive', 'makingabeat', 'RAP', 'Hiphopinstrumentals', 'RNB', 'drum', 'Guitar', 'English']",Music,26936,7962
299,kangqui,ko,['한국어'],Just Chatting,509658,7084
300,katoo,de,"['Deutsch', 'German', 'Fortnite']",Fortnite,33214,12950
301,just_ns,ru,['Русский'],Dota 2,29595,32569
302,k13tv,pt,"['Esports', 'Español', 'Competitive', 'Ranked', 'Coach', 'Competitivo', 'gamer', 'Português', 'English', 'music']",Dota 2,29595,7491
303,kuiki771,ko,"['한국어', '훈수금지', '까까', '꾸꾸', '께끼', '귀귀', '귁기', '귁히', '끼끼', '꺼꺼']",Project Zomboid,31339,18469
304,keznit1,es,['Español'],VALORANT,516575,28618
305,luidematos,pt,['Português'],Just Chatting,509658,17299
306,lol_madlife,ko,['한국어'],League of Legends,21779,7608
307,lol_woolf,ko,['한국어'],Minecraft,27471,15545
308,lolpacifictw,zh,"['英雄聯盟', '中文', 'leagueoflegends', 'Esports']",League of Legends,21779,7250
309,littleragergirl,es,['Español'],Sekiro: Shadows Die Twice,506415,43996
310,lol_nemesis,en,['English'],League of Legends,21779,116161
311,lovelyyeon,ko,"['스포일러금지', '코크다고놀리기금지', '오늘전적검색금지', '한국어']",Don't Starve Together,488634,19250
312,kyo1984123,zh,['中文'],Just Chatting,509658,24591
313,lol_ambition,ko,"['한국어', '챌린저', '정글러', 'Challenger', 'jungler', '몬스터에너지', '젠지']",League of Legends,21779,36050
314,longwu1216,zh,"['唱歌', '中文', '廚神', '瀰漫性中至重度脂肪肝']",Monster Hunter: World,497467,4440
315,loud_babi,pt,['Português'],Just Chatting,509658,16167
316,m4fgaming,fr,['Français'],Total War: WARHAMMER III,1913410799,10435
317,lestream,fr,['Français'],Just Chatting,509658,71728
318,looksam,ko,"['hearthstone', 'justchatting', 'leagueoflegends', 'lostark', '한국어']",Minecraft,27471,20260
319,liok0485,ko,"['순당무', '한국어', '정글', '원딜', '미드', '서폿', '일본서버', '일본어', '日本語']",League of Legends,21779,10083
320,loltyler1,en,['English'],League of Legends,21779,372654
321,lilsimsie,en,"['SheHer', 'English', 'FamilyFriendly', 'ClosedCaptions']",The Sims 4,369252,29179
322,loud_coringa,pt,"['Português', 'loudcoringa', 'LOUD']",Black Myth: Wukong,519291,238785
323,latesitoo,es,"['late', 'latesitoo', 'papudespierta', 'lacasadelosfamosos', 'onecoin', 'Treithaestuvoaqui', 'Español']",Just Chatting,509658,168
324,lelisdota,en,['English'],Dota 2,29595,11458
325,lyon3k,zh,"['雞塊渣男', '旗山國國王', '高金生', '中文', '色狗', '下飯操作', '台灣7TV推廣員', 'Rank1Bard', 'English']",Escape from Tarkov,491931,7889
326,linfufu,zh,"['台灣', '戶外', '搞笑', '美食', '寵物', '生活', '中文', 'irl', '唱歌']",Just Chatting,509658,14750
327,ljh0328,ko,['한국어'],Just Chatting,509658,9377
328,liminhag0d,pt,['Português'],Counter-Strike,32399,61430
329,loud_thurzin,pt,['Português'],Garena Free Fire,502732,59956
330,lilballzlolz,zh,['中文'],Path of Exile,29307,7070
331,lett,pt,"['tribo', 'csgo', 'lett', 'Português']",Counter-Strike,32399,54
332,lilypichu,en,['English'],Street Fighter 6,55453844,106529
333,loopooyt,fr,['Français'],Slots,498566,15477
334,lol_cuvee,ko,['한국어'],League of Legends,21779,9053
335,loud_jordan,pt,['Português'],Garena Free Fire,502732,7530
336,m0xyy,en,"['English', 'throwing', 'Furry']",Apex Legends,511224,30464
337,ma_mwa,ko,['한국어'],Games + Demos,66082,11218
338,kyliebitkin,en,"['English', 'Roleplay', 'LGBTＱ', 'RP', 'GTARP', 'skibidi', 'Woman']",Grand Theft Auto V,32982,35783
339,leehunnyeo,ko,['한국어'],Just Chatting,509658,7558
340,lubatv,pt,"['Português', 'reacts', 'memes']",Just Chatting,509658,1754
341,leechunhyang,ko,['한국어'],Just Chatting,509658,19172
342,mayapie1,zh,"['點擊可新增標籤', '中文']",MapleStory,19976,5749
343,mimiluckying,zh,"['休閒娛樂', '技術台', '耍白癡', '尊重友善包容', '中文', '启用掉宝']",Dungeonborne,493716463,6326
344,momonkunn,es,"['infamesrp', 'viktorvolkov', 'gtaroleplay', 'fivem', 'VOLKACIO', 'Español', 'GTARP', 'fib', 'roleplay']",Grand Theft Auto V,32982,12671
345,magical,ru,magical,Casino Master 4.0,1673997777,13092
346,matsuri_hs,ja,['日本語'],Hearthstone,138585,7375
