,Channel_Name,Language,Tags,Last Played Game,Game ID,ChannelID,Count
1938,wearethevr,hu,['Magyar'],Talk Shows & Podcasts,417752,63493039,23207
1939,welyn,en,"['English', 'gamer']",Escape from Tarkov,491931,128892121,24108
1940,whippy,en,"['english', 'roleplay', 'English']",Grand Theft Auto V,32982,28564152,59785
1941,wingsofdeath,en,"['HotTub', 'Drops', 'ASMR', 'English', 'VTuber', 'Top']",Black Myth: Wukong,519291,30171560,12284
1942,unsympathisch_tv,de,['Deutsch'],Just Chatting,509658,79769388,47611
1943,valorant_br,pt,"['Esports', 'português', 'Português']",VALORANT,516575,502014446,79534
1944,valorant_kr,ko,"['e스포츠', '발로란트', 'VCT', '한국어', '챔피언스', 'valorant', '체인저스', 'changers']",VALORANT,516575,575804071,17493
1945,werlyb,es,['Español'],Black Myth: Wukong,519291,30357893,65844
1946,unboxholics,en,"['unboxholics', 'horrornight', 'uh', 'uhhorror', 'English']",unboxholics,unboxholics,68246485,19307
1947,unicornio,es,"['Español', 'IRL', 'Charlas', 'Reacciónes', 'Variedad']",Just Chatting,509658,61519248,47907
1948,warframe,en,"['warframe', 'English', 'DropsEnabled']",Warframe,66170,31557216,90874
1949,winghaven,es,['Español'],Call of Duty: Warzone,512710,41790550,27868
1950,woohankyung,ko,['한국어'],Just Chatting,509658,455679396,26391
1951,wtf_winds123,zh,"['中文', '帥臉', '勤奮主播', '技術路線', '手遊', '超級幸運']",Black Myth: Wukong,519291,29546745,31478
1952,twayko,es,['Español'],Slots,498566,185163242,15686
1953,voodoosh,ru,['Русский'],Tournament Poker,3151,87481167,61723
1954,tyler_ygg,en,"['English', 'BackseatingAllowed']",Parallel,1931912067,52379691,15269
1955,vaporadark,en,"['English', 'leagueoflegends', 'adc', 'aphelios']",League of Legends,21779,38276909,3322
1956,vicens,es,"['Español', 'Fortnite']",Fortnite,33214,101395464,20090
1957,voyboy,en,voyboy,League of Legends,21779,14293484,140
1958,wackyjacky101,en,"['BattleRoyale', 'English']",PUBG: BATTLEGROUNDS,493057,91103221,13479
1959,waitou1117,zh,['中文'],Grand Theft Auto V,32982,88217136,6060
1960,twitchsports,en,"['sports', 'English', 'GameShow', 'olympicgames', 'IRL']",Sports,518203,232867781,1072
1961,tyceno,en,['English'],TopSpin 2K25,145906249,100048582,89175
1962,twitchfarming,de,"['Vlog', 'Drohne', 'Drone', 'Farmer', 'Farming', 'Traktor', 'Deutsch']",Just Chatting,509658,438349822,10908
1963,ultia,fr,['Français'],Cyberpunk 2077,65876,68594999,16120
1964,valorant,en,"['Esports', 'VCT', 'English', 'VALORANTChampionsTour', 'ChampionsTour', 'Champions', 'VALORANTChampions', 'DropsEnabled']",VALORANT,516575,490592527,725944
1965,vargskelethor,en,"['fecalfunny', 'gamer', 'monke', 'snusk', 'vargP', 'badEnglish', 'English']",Teardown,514795,28219022,22567
1966,venruki,en,['English'],World of Warcraft,18122,21302211,19452
1967,vercetti,en,"['Vercetti', 'gta', 'English', 'WindyCityRp', 'fivem', 'WindyCity', 'FiveMRolePlay', 'GTARPLIVE']",Grand Theft Auto V,32982,416781017,14377
1968,tvander,es,"['Español', 'KOI', 'ander', 'masonería', '33', 'melons']",League of Legends,21779,132279966,30575
1969,twincytv,fr,['Français'],Grand Theft Auto V,32982,440140011,3154
1970,warchiwar,es,"['Español', 'SMITEPartner', 'SMITE', 'Ranked', 'DropsActivados']",SMITE,32507,40282149,19887
1971,warcraft,en,"['Warcraft', 'Esports', 'English', 'WorldofWarcraft']",World of Warcraft,18122,37516578,173
1972,wardiii,en,"['Esports', 'English']",StarCraft II,490422,26973975,10948
1973,welovegames,ru,"['русский', 'IRL', 'игры', 'новинки', 'юмор', 'общение', 'Русский', 'разговоры']",Black Myth: Wukong,519291,30814134,35752
1974,vivalafazza,it,"['Italiano', 'clown', '025']",Black Myth: Wukong,519291,131917576,20818
1975,wankilstudio,fr,"['Français', 'DropsActivés']",Hunt: Showdown 1896,500188,31289086,30499
1976,whaazz,en,"['PvP', 'Arena', 'Rogue', 'Warrior', 'Monk', 'Druid', 'English', 'DemonHunter', 'Evoker']",World of Warcraft,18122,68266211,21150
1977,wilbursoot,en,['English'],Minecraft,27471,185048086,121726
1978,x6flipin,es,"['flipin', 'faceit', 'TGD', 'Español', 'source2', 'counterstrike2', 'cs2', 'premier']",Counter-Strike,32399,27757893,12909
1979,uzra,zh,['中文'],Black Myth: Wukong,519291,11692694,31895
1980,versuta,ru,['Русский'],Dota 2,29595,21802540,13430
1981,uberhaxornova,en,['English'],Just Chatting,509658,7010591,29151
1982,uselessmouth,ru,['Русский'],StarCraft II,490422,22877031,15355
1983,vanotica_,th,"['ไทย', 'DooWhite', 'ภาษาไทย', 'AttackAllAround', 'WhatCity']",Grand Theft Auto V,32982,189420367,9076
1984,vgbootcamp,en,"['Esports', 'English', 'Competitive', 'FGC', 'smashbros', 'Smashbrosultimate', 'Esport', 'SuperSmashBrosUltimate', 'SuperSmashBros', 'fightinggames']",Super Smash Bros. Ultimate,504461,9846758,58862
1985,viperdemon,th,"['valorant', 'viperdemon', 'z11', 'ไทย', 'ภาษาไทย']",Teamfight Tactics,513143,39150803,21554
1986,vitapvpey,fr,['Français'],vitapvpey,vitapvpey,74051603,5975
1987,twitchkr,ko,"['justchatting', '한국어']",Just Chatting,509658,103368190,2735
1988,tyongeee,en,"['korean', 'kpop', 'Dance', 'Travel', 'irl', 'English', 'cute']",Just Chatting,509658,432065909,9326
1989,vovo,pt,"['Português', 'CPX', 'Humor', 'Panela', 'Sobrevivência', 'react', 'ETS2', 'simuladores', 'FS22', 'FarmingSimulator22']",Grand Theft Auto V,32982,136189230,9659
1990,wtcn,tr,"['Türkçe', 'DroplarEtkin']",VALORANT,516575,51950404,151759
1991,wingo,fr,"['Plaisir', 'Partage', 'Poule', 'Energie', 'Humour', 'Cracotte', 'Drops', 'Français', 'ZLAN']",DREDGE,1581126534,41384425,4157
1992,wismichu,es,['Español'],ELDEN RING,512953,30504119,14111
1993,witwix,en,"['EsotericGamingForGeniuses', 'MeLikeVideoGames', 'DrippingGrease', 'AlabamaHammaSlamma', 'English']",HITMAN World of Assassination,1780647523,11558942,9272
1994,wolfeyvgc,en,['English'],Pokémon Scarlet/Violet,670867987,105714465,3040
1995,worldofwarships,ja,"['CommunityEngagement', 'Community', 'DropEnabled', 'WorldofWarships', 'Japanese', '日本語']",World of Warships,32502,182565961,42578
1996,valle,de,"['GrandTheftAuto5', 'RollenSpiel', 'Deutsch', 'Roleplay', 'Homestate', 'HS']",Grand Theft Auto V,32982,179597489,8916
1997,weathernewslive,ja,['日本語'],Talk Shows & Podcasts,417752,471136540,2814
1998,xo_trixy,fr,"['gaming', 'humour', 'Français', 'multijoueur', 'dresstoimpress', 'mode', 'outfit', 'roblox', 'compétition']",Just Chatting,509658,125323544,5589
1999,youngmulti,pl,"['Polski', 'YFL', 'YoungMulti', 'Muzyka']",Just Chatting,509658,28141853,29841
2000,yourpelagea,en,yourpelagea,ASMR,509659,183581994,13967
2001,zzamtiger0310,ko,['한국어'],Just Chatting,509658,120568022,19246
2002,ydcb,en,"['Comedy', 'clown', 'circus', 'epicseven', 'gacha', 'positivity', 'lucky', 'helpful', 'English']",Counter-Strike,32399,77140862,12592
2003,zakl1k,pt,"['Português', 'Minecraft']",Minecraft,27471,192202755,9393
2004,zeko,es,"['Español', 'Fortnite', 'zEkO']",Fortnite,33214,101448647,16696
