Real Source,Real Target,Weight
109ace,01bd02,944
2chamcham2,01bd02,535
aba4647,01bd02,949
chodan_,01bd02,846
ddahyoni,01bd02,1225
dogswellfish,01bd02,1107
Faker,01bd02,569
flurry1989,01bd02,643
handongsuk,01bd02,2513
hanryang1125,01bd02,2447
hatsalsal,01bd02,1262
haxxnini,01bd02,966
johnny3047258,01bd02,582
kanetv8,01bd02,642
kimdoe,01bd02,739
kss7749,01bd02,826
leechunhyang,01bd02,507
leehunnyeo,01bd02,713
lol_ambition,01bd02,641
looksam,01bd02,516
lovelyyeon,01bd02,1112
magenta62,01bd02,712
nanajam777,01bd02,756
naseongkim,01bd02,535
nokduro,01bd02,1250
obm1025,01bd02,1011
pacific8815,01bd02,1916
paka9999,01bd02,796
pjs9073,01bd02,1057
portialyn,01bd02,731
rooftopcat99,01bd02,737
rudbeckia7,01bd02,581
runner0608,01bd02,1162
saddummy,01bd02,3099
ses836,01bd02,708
sonycast_,01bd02,1232
sooflower,01bd02,1137
tmxk319,01bd02,788
torona1,01bd02,1822
woohankyung,01bd02,1024
woowakgood,01bd02,616
yapyap30,01bd02,1431
yumyumyu77,01bd02,1737
zilioner,01bd02,2391
zzamtiger0310,01bd02,517
Crystal_LoL,10000DAYS,589
DanucD,10000DAYS,552
jrkz,10000DAYS,927
KendineMuzisyen,10000DAYS,1453
LEGOO,10000DAYS,824
Mithrain,10000DAYS,3679
mujs_,10000DAYS,582
pqueen,10000DAYS,652
PUBG_BATTLEGROUNDS,10000DAYS,1055
TGLTN,10000DAYS,632
Uthenera,10000DAYS,575
wtcN,10000DAYS,2913
2chamcham2,109ace,1328
dogswellfish,109ace,2577
dopa24,109ace,665
flamekr,109ace,2216
h920103,109ace,565
handongsuk,109ace,9486
hanryang1125,109ace,10611
jmjdoc,109ace,1036
liok0485,109ace,580
lol_cuvee,109ace,842
lol_madlife,109ace,830
naseongkim,109ace,3162
pikra10,109ace,1374
pjs9073,109ace,2891
qq102qq,109ace,647
rudbeckia7,109ace,1400
ses836,109ace,4970
so_urf,109ace,2605
torona1,109ace,2571
wkgml,109ace,633
yapyap30,109ace,6176
zoodasa,109ace,601
bt0tv,1DrakoNz,707
Bugha,1DrakoNz,568
casimito,1DrakoNz,2094
Clix,1DrakoNz,634
Coreano,1DrakoNz,1377
deercheerup,1DrakoNz,603
frttt,1DrakoNz,1161
k1ng,1DrakoNz,964
liminhag0d,1DrakoNz,566
loud_coringa,1DrakoNz,2224
MeikodRJ,1DrakoNz,1593
noahreyli,1DrakoNz,541
Patriota,1DrakoNz,982
paulanobre,1DrakoNz,645
pulgaboy,1DrakoNz,7061
suetam1v4,1DrakoNz,6961
Taspio,1DrakoNz,9572
tteuw,1DrakoNz,862
VALORANT_BR,1DrakoNz,1719
YoDa,1DrakoNz,717
h920103,2chamcham2,4643
hanryang1125,2chamcham2,4028
liok0485,2chamcham2,1673
pikra10,2chamcham2,1274
qq102qq,2chamcham2,515
rudbeckia7,2chamcham2,1814
ses836,2chamcham2,3099
snow_hite,2chamcham2,7885
so_urf,2chamcham2,1566
valorant_kr,2chamcham2,855
wkgml,2chamcham2,9603
5up,39daph,707
AbdulHD,39daph,585
Acie,39daph,736
AdmiralBahroo,39daph,3538
AdmiralBulldog,39daph,2431
AdrianaChechik_,39daph,723
Agustabell212,39daph,567
akaNemsko,39daph,852
Albralelie,39daph,871
Alinity,39daph,3261
Alkaizerx,39daph,739
Amaz,39daph,595
Amouranth,39daph,2668
ANGRYPUG,39daph,546
AnnaCramling,39daph,663
AnnieFuchsia,39daph,1288
Anthony_Kongphan,39daph,873
AnthonyZ,39daph,3205
Apryze,39daph,566
AriaSaki,39daph,4962
ArrumieShannon,39daph,720
artesianbuilds,39daph,966
ash,39daph,1108
AsianGuyStream,39daph,1378
Asmongold,39daph,7515
AsunaWEEB,39daph,2786
Atrioc,39daph,1336
Autumn,39daph,516
AverageJonas,39daph,3469
AvoidingThePuddle,39daph,2660
B0aty,39daph,520
Bawkbasoup,39daph,644
beatberry_314,39daph,2267
Becca,39daph,1230
BeyondTheSummit,39daph,952
biotox,39daph,885
BLCK_Taisheen,39daph,737
BobRoss,39daph,1025
BotezLive,39daph,2764
boxbox,39daph,6605
BrookeAB,39daph,1273
BruceDropEmOff,39daph,742
btssmash,39daph,896
buddha,39daph,3536
Caedrel,39daph,2107
CaptainPuffy,39daph,564
Castro_1021,39daph,1225
Central_Committee,39daph,711
Chess,39daph,1406
chessbrah,39daph,773
ClintStevens,39daph,6098
cloakzy,39daph,740
CodeMiko,39daph,3199
CohhCarnage,39daph,4610
ConnorEatsPants,39daph,864
Cope,39daph,606
Criken,39daph,504
Crystalst,39daph,1435
CuteDog_,39daph,608
dafran,39daph,737
dakotaz,39daph,512
daltoosh,39daph,921
DansGaming,39daph,1145
dapr,39daph,2663
DashDucks,39daph,12163
Diegosaurs,39daph,689
Distortion2,39daph,2093
Doublelift,39daph,1861
Dyrus,39daph,1829
Elajjaz,39daph,3142
elxokas,39daph,805
emilyywang,39daph,1287
Enviosity,39daph,3026
erobb221,39daph,3571
EsfandTV,39daph,9415
et_1231,39daph,585
evaanna,39daph,552
EXBC,39daph,1245
Fairlight_Excalibur,39daph,564
Faker,39daph,2108
Fextralife,39daph,4316
fobm4ster,39daph,1036
foolish,39daph,793
fuslie,39daph,5097
gamergirl,39daph,696
GamesDoneQuick,39daph,766
Genburten,39daph,621
Giantwaffle,39daph,943
Gladd,39daph,550
Gorgc,39daph,1797
Governor,39daph,858
Grimm,39daph,853
Grubby,39daph,504
gsmVoiD,39daph,695
HAchubby,39daph,4584
Harry,39daph,1083
haxxnini,39daph,788
heyimbee,39daph,1234
Hiko,39daph,3513
Hirona,39daph,818
HutchMF,39daph,547
iiTzTimmy,39daph,8112
Im_Dontai,39daph,700
imaqtpie,39daph,3299
ImperialHal__,39daph,3775
Insym,39daph,540
ironmouse,39daph,3215
itmeJP,39daph,630
itsHafu,39daph,1570
iwdominate,39daph,860
Jankos,39daph,1900
JASONR,39daph,859
JERICHO,39daph,563
Jerma985,39daph,3081
Jinnytty,39daph,8429
JOEYKAOTYK,39daph,1975
JoshOG,39daph,588
JustaMinx,39daph,1512
k3soju,39daph,2038
Kalei,39daph,1076
Kandyland,39daph,885
karlnetwork,39daph,2394
kennyS,39daph,1003
kkatamina,39daph,5555
koil,39daph,1250
kragiee,39daph,585
KristoferYee,39daph,3083
Kyedae,39daph,9958
Kyle,39daph,1800
kyliebitkin,39daph,848
LCS,39daph,616
Leynainu,39daph,652
lilypichu,39daph,11936
Limmy,39daph,1517
LIRIK,39daph,10600
Loeya,39daph,650
Loserfruit,39daph,695
LotharHS,39daph,643
LPL,39daph,1392
LuluLuvely,39daph,1829
LunaOni,39daph,763
LVNDMARK,39daph,951
Lysium,39daph,990
m0xyy,39daph,3588
Macaiyla,39daph,1702
Mande,39daph,956
MANvsGAME,39daph,584
MarineMammalRescue,39daph,696
Masayoshi,39daph,5628
masondota2,39daph,772
Mathil1,39daph,967
Maximilian_DOOD,39daph,2527
Maximum,39daph,1049
melina,39daph,1698
Mendo,39daph,1662
midbeast,39daph,2937
Mizkif,39daph,10186
Momo,39daph,930
MontanaBlack88,39daph,525
MOONMOON,39daph,8858
Murda,39daph,593
MurderCrumpet,39daph,1489
MuTeX,39daph,563
Myth,39daph,2755
Naguura,39daph,683
Natsumiii,39daph,9182
NICKMERCS,39daph,2315
Nidas,39daph,667
Nightblue3,39daph,563
Nihachu,39daph,757
Ninja,39daph,2567
nl_Kripp,39daph,2195
Nmplol,39daph,12104
Noko,39daph,1265
Northernlion,39daph,1551
NymN,39daph,7840
OGADotaPIT,39daph,965
OkCode,39daph,2024
Otzdarva,39daph,2064
PaymoneyWubby,39daph,1023
PENTA,39daph,1744
Philza,39daph,1135
ploo,39daph,3579
pokelawls,39daph,9502
Posty,39daph,736
Preachlfw,39daph,1029
projektmelody,39daph,887
QTCinderella,39daph,10241
QuarterJade,39daph,5121
Raeyei,39daph,1688
Ramee,39daph,1705
RatedEpicz,39daph,1990
RATIRL,39daph,1906
Ray__C,39daph,1889
RetroGaijin,39daph,1587
richwcampbell,39daph,3369
Ricoy,39daph,525
robcdee,39daph,3494
robinsongz,39daph,755
roflgator,39daph,3617
Rogue,39daph,998
ROSHTEIN,39daph,1080
RTGame,39daph,636
Russel,39daph,1098
s1mple,39daph,1388
Sacriel,39daph,617
sashagrey,39daph,1868
scump,39daph,575
Sequisha,39daph,1109
ShahZaM,39daph,6381
SicK_cs,39daph,3511
Silithur,39daph,511
Simply,39daph,2129
sinatraa,39daph,5356
singsing,39daph,1810
sips_,39daph,1516
SmallAnt,39daph,1597
sneakylol,39daph,3251
Snip3down,39daph,1065
snuffy,39daph,1106
sodapoppin,39daph,19576
Spaceboy,39daph,599
Ssaab,39daph,1013
starsmitten,39daph,6461
StaysafeTV,39daph,656
Steelmage,39daph,1028
SteveSuptic,39daph,1817
Subroza,39daph,2904
summit1g,39daph,7402
supertf,39daph,2494
Surefour,39daph,1978
Sweet_Anita,39daph,1503
sweetdreams,39daph,1223
Sydeon,39daph,1459
Sykkuno,39daph,10561
Symfuhny,39daph,950
SypherPK,39daph,537
tarzaned,39daph,533
taxi2g,39daph,1942
Tectone,39daph,1046
tenha,39daph,753
TenZ,39daph,4461
TFBlade,39daph,819
Tfue,39daph,2123
Thebausffs,39daph,1249
TheJRM_,39daph,707
TheStockGuy,39daph,1081
Thijs,39daph,852
TinaKitten,39daph,5551
TobiasFate,39daph,1625
Tomato,39daph,726
Towelliee,39daph,1017
TPAIN,39daph,846
Trainwreckstv,39daph,6771
TrU3Ta1ent,39daph,1040
Tubbo,39daph,929
tuonto,39daph,1291
tyongeee,39daph,1836
UberHaxorNova,39daph,1073
VALORANT,39daph,12077
Vargskelethor,39daph,604
vei,39daph,3994
VGBootCamp,39daph,758
WARDELL,39daph,2345
Warframe,39daph,561
Whippy,39daph,1566
willneff,39daph,3399
Wolfabelle,39daph,1410
woohankyung,39daph,895
xChocoBars,39daph,5126
Xlice,39daph,1154
xQc,39daph,23661
Yassuo,39daph,768
YDCB,39daph,583
yourragegaming,39daph,586
Yuggie_TV,39daph,2223
yvonnie,39daph,6094
Zentreya,39daph,830
ZeplaHQ,39daph,1003
Zizaran,39daph,1143
Zoil,39daph,2142
zombs,39daph,1479
AnnaCramling,5up,549
BoomerNA,5up,1418
boxbox,5up,1097
BrookeAB,5up,1154
ChilledChaos,5up,1119
ConnorEatsPants,5up,654
dakotaz,5up,1097
dreamwastaken,5up,732
DumbDog,5up,2130
iskall85,5up,724
JustaMinx,5up,1054
Kyedae,5up,955
Mizkif,5up,834
Natsumiii,5up,1363
neimki,5up,1028
Punz,5up,2687
QuarterJade,5up,1014
Sapnap,5up,2197
ThisIsNotGeorgeNotFound,5up,1266
TinaKitten,5up,3158
Tubbo,5up,5353
xChocoBars,5up,1184
xQc,5up,1379
biyin_,8cho,17513
blackelespanolito,8cho,854
DrIgo,8cho,544
ElMariana,8cho,5548
elxokas,8cho,6623
goncho,8cho,1359
MarkitoNavaja,8cho,833
Mixwell,8cho,870
xQc,8cho,713
2chamcham2,95pingman,3447
9ambler,95pingman,1504
ajehr,95pingman,642
ao_o5,95pingman,1467
bbonge_,95pingman,2236
bighead033,95pingman,604
ch1ckenkun,95pingman,588
cherrypach,95pingman,2521
collet11,95pingman,1935
dkwl025,95pingman,995
dogswellfish,95pingman,549
Faker,95pingman,677
gongparipa,95pingman,4113
h920103,95pingman,800
handongsuk,95pingman,1309
hanryang1125,95pingman,509
hejin0_0,95pingman,777
jdm2088,95pingman,9027
jinu6734,95pingman,3604
kimdduddi,95pingman,2124
leechunhyang,95pingman,1393
lol_woolf,95pingman,574
ma_mwa,95pingman,1314
magenta62,95pingman,836
msmsms213,95pingman,6936
nokduro,95pingman,766
obm1025,95pingman,2078
pacific8815,95pingman,596
paka9999,95pingman,605
pjs9073,95pingman,4927
rkdwl12,95pingman,1821
rngudwnswkd,95pingman,1395
runner0608,95pingman,935
saddummy,95pingman,1095
sah_yang,95pingman,2366
sal_gu,95pingman,607
silphtv,95pingman,2634
snow_hite,95pingman,1548
tmxk319,95pingman,804
valorant_kr,95pingman,588
wkgml,95pingman,3889
woowakgood,95pingman,977
yd0821,95pingman,3651
zilioner,95pingman,562
2chamcham2,9ambler,6476
cherrypach,9ambler,4351
dkwl025,9ambler,852
dogswellfish,9ambler,734
h920103,9ambler,1266
handongsuk,9ambler,1817
hanryang1125,9ambler,932
johnny3047258,9ambler,549
liok0485,9ambler,768
lovelyyeon,9ambler,527
naseongkim,9ambler,893
pacific8815,9ambler,820
pikra10,9ambler,716
pjs9073,9ambler,4492
rngudwnswkd,9ambler,1084
rooftopcat99,9ambler,914
rudbeckia7,9ambler,686
ses836,9ambler,806
snow_hite,9ambler,2847
valorant_kr,9ambler,516
wkgml,9ambler,2632
yapyap30,9ambler,850
zoodasa,9ambler,511
BLCK_Taisheen,9impulse,547
ImperialHal__,9impulse,1749
just_ns,9impulse,635
a541021,9QOQ,1601
bbbb87,9QOQ,7266
beatberry_314,9QOQ,800
bebelolz,9QOQ,1323
beryl_lulu,9QOQ,2850
BLCK_Taisheen,9QOQ,521
blusewilly_retry,9QOQ,1722
breeze0920,9QOQ,654
brothers_baseball,9QOQ,859
butterflyouo,9QOQ,2648
carry_game,9QOQ,4046
chen810830,9QOQ,2299
chiawei1031tv,9QOQ,2013
crazyfacetw,9QOQ,2540
ESL_CSGO,9QOQ,815
et_1231,9QOQ,2416
failverde,9QOQ,1433
Faker,9QOQ,1052
gearbaby1010,9QOQ,5540
Genburten,9QOQ,936
ggbb528,9QOQ,952
guanweiboy,9QOQ,8707
gunguno,9QOQ,8209
haxxnini,9QOQ,979
iiTzTimmy,9QOQ,3591
ImperialHal__,9QOQ,3936
jielun1215,9QOQ,1672
jongie,9QOQ,1125
kannachan524,9QOQ,2956
kentung,9QOQ,5859
Ko0416,9QOQ,1948
kr1stw,9QOQ,781
kyo1984123,9QOQ,2078
LCK,9QOQ,907
lilballzlolz,9QOQ,525
linfufu,9QOQ,650
LPL,9QOQ,853
lyon3k,9QOQ,548
mobilmobil,9QOQ,1291
momo_sports,9QOQ,770
muse_tw,9QOQ,1246
nein1203,9QOQ,833
NeVeR_LosEs,9QOQ,4363
qq7925168,9QOQ,2771
qttsix,9QOQ,1759
relaxing234,9QOQ,2711
restiafps,9QOQ,7623
roieee,9QOQ,7342
ShivFPS,9QOQ,952
shroud,9QOQ,1078
shuteye_orange,9QOQ,1099
sixwong,9QOQ,751
slrabbit99,9QOQ,864
Snip3down,9QOQ,612
sooflower,9QOQ,558
sweetcampercs,9QOQ,11132
sweetdreams,9QOQ,542
takesipon,9QOQ,2143
uzra,9QOQ,2248
VALORANT,9QOQ,764
vei,9QOQ,850
wayne75525,9QOQ,3428
woohankyung,9QOQ,854
wtf_winds123,9QOQ,2286
xargon0731,9QOQ,3778
xhibaoger,9QOQ,4463
yuniko0720,9QOQ,747
zhiting_li,9QOQ,3097
zondalol,9QOQ,1185
zrush,9QOQ,2267
39daph,A_Seagull,1072
AdmiralBahroo,A_Seagull,5583
Amouranth,A_Seagull,559
Anthony_Kongphan,A_Seagull,507
Asmongold,A_Seagull,1899
boxbox,A_Seagull,739
btssmash,A_Seagull,526
buddha,A_Seagull,550
Caedrel,A_Seagull,758
ClintStevens,A_Seagull,1120
CohhCarnage,A_Seagull,2756
dafran,A_Seagull,630
DansGaming,A_Seagull,706
Datto,A_Seagull,845
Day9tv,A_Seagull,601
Distortion2,A_Seagull,1029
Doublelift,A_Seagull,761
Dyrus,A_Seagull,649
Elajjaz,A_Seagull,1191
Emongg,A_Seagull,1865
Enviosity,A_Seagull,602
EsfandTV,A_Seagull,953
Fairlight_Excalibur,A_Seagull,592
Fextralife,A_Seagull,1820
Flats,A_Seagull,747
Froggen,A_Seagull,836
GamesDoneQuick,A_Seagull,746
Giantwaffle,A_Seagull,643
Gorgc,A_Seagull,525
Grubby,A_Seagull,633
Hiko,A_Seagull,557
iiTzTimmy,A_Seagull,2050
imaqtpie,A_Seagull,1148
ImperialHal__,A_Seagull,1497
itmeJP,A_Seagull,570
itsHafu,A_Seagull,759
Jankos,A_Seagull,604
Jay3,A_Seagull,1336
Jerma985,A_Seagull,918
k3soju,A_Seagull,574
Kephrii,A_Seagull,872
kragiee,A_Seagull,1045
Kyle,A_Seagull,566
lilypichu,A_Seagull,694
LIRIK,A_Seagull,3655
loltyler1,A_Seagull,1435
LuluLuvely,A_Seagull,650
m0xyy,A_Seagull,1052
Mathil1,A_Seagull,747
Maximilian_DOOD,A_Seagull,1149
Maximum,A_Seagull,583
Mendo,A_Seagull,643
midbeast,A_Seagull,608
Mizkif,A_Seagull,764
mL7support,A_Seagull,1094
Momo,A_Seagull,787
MOONMOON,A_Seagull,4952
NICKMERCS,A_Seagull,1035
Ninja,A_Seagull,1209
nl_Kripp,A_Seagull,1791
Nmplol,A_Seagull,1047
Noko,A_Seagull,582
Northernlion,A_Seagull,917
Otzdarva,A_Seagull,634
PENTA,A_Seagull,734
pokelawls,A_Seagull,1060
Preachlfw,A_Seagull,524
QTCinderella,A_Seagull,881
Quin69,A_Seagull,2725
RATIRL,A_Seagull,533
Rescue,A_Seagull,1065
richwcampbell,A_Seagull,704
roflgator,A_Seagull,545
Rogue,A_Seagull,529
Sacriel,A_Seagull,607
Sequisha,A_Seagull,551
ShahZaM,A_Seagull,520
sinatraa,A_Seagull,631
singsing,A_Seagull,606
sips_,A_Seagull,605
Sloot,A_Seagull,551
SmallAnt,A_Seagull,732
sneakylol,A_Seagull,1182
Snip3down,A_Seagull,576
sodapoppin,A_Seagull,3655
Steelmage,A_Seagull,685
summit1g,A_Seagull,2351
supertf,A_Seagull,1666
Surefour,A_Seagull,2377
sweetdreams,A_Seagull,628
Sykkuno,A_Seagull,712
taxi2g,A_Seagull,708
Tfue,A_Seagull,788
Thijs,A_Seagull,577
TobiasFate,A_Seagull,569
Towelliee,A_Seagull,699
Trainwreckstv,A_Seagull,1012
TSM_Viss,A_Seagull,527
VALORANT,A_Seagull,2070
vei,A_Seagull,751
VGBootCamp,A_Seagull,590
xQc,A_Seagull,4164
Zizaran,A_Seagull,861
AhriNyan,A1taOda,645
ALOHADANCETV,A1taOda,4643
Amouranth,A1taOda,611
awfdota,A1taOda,1820
bratiki94,A1taOda,1533
bratishkinOFF,A1taOda,1533
buster,A1taOda,2878
by_Owl,A1taOda,677
C_a_k_e,A1taOda,1823
cheatbanned,A1taOda,1471
Daxak,A1taOda,4393
Dendi,A1taOda,1865
des0ut,A1taOda,674
dinablin,A1taOda,678
Dmitry_Lixxx,A1taOda,1665
Dota2RuHub,A1taOda,5605
DreadzTV,A1taOda,3920
ekatze007,A1taOda,695
Evelone192,A1taOda,2613
F1ashko,A1taOda,1098
fasoollka,A1taOda,517
Fextralife,A1taOda,606
follentass,A1taOda,647
generalqw,A1taOda,1974
GENSYXA,A1taOda,732
GGwpLanaya,A1taOda,671
GN_GG,A1taOda,588
GodHunt,A1taOda,1100
GUACAMOLEMOLLY,A1taOda,545
guit88man,A1taOda,503
HoneyMad,A1taOda,1900
icebergdoto,A1taOda,5307
iLame,A1taOda,1714
iltw1,A1taOda,752
just_ns,A1taOda,2429
JustCooman,A1taOda,2671
KarmikKoala,A1taOda,903
kostbii4,A1taOda,543
magical,A1taOda,1460
makataO,A1taOda,844
melharucos,A1taOda,1489
mistafaker,A1taOda,602
Nix,A1taOda,2014
Olsior,A1taOda,652
olyashaa,A1taOda,824
PCH3LK1N,A1taOda,896
qSnake,A1taOda,1921
QUICKHUNTIK,A1taOda,859
Recrent,A1taOda,2099
s1mple,A1taOda,1156
Sh4dowehhh,A1taOda,1892
shroud,A1taOda,962
shtan_udachi,A1taOda,518
SilverName,A1taOda,3302
SpeedManq,A1taOda,1658
Stray228,A1taOda,5538
StRoGo,A1taOda,824
TpaBoMaH,A1taOda,3086
VeRsuta,A1taOda,3348
VooDooSh,A1taOda,1863
WELOVEGAMES,A1taOda,1073
weplaycsgo,A1taOda,1290
XaKoH,A1taOda,1678
ybicanoooobov,A1taOda,5059
ZLOYn,A1taOda,1315
albislol,a541021,1515
Amouranth,a541021,916
bbbb87,a541021,2797
beatberry_314,a541021,933
beryl_lulu,a541021,2733
blusewilly_retry,a541021,2615
boxbox,a541021,507
breeze0920,a541021,719
brothers_baseball,a541021,1643
carry_game,a541021,3058
chen810830,a541021,2238
crazyfacetw,a541021,976
et_1231,a541021,3285
failverde,a541021,2186
Faker,a541021,1297
franchiseglobalart,a541021,942
gearbaby1010,a541021,3154
ggbb528,a541021,1298
guanweiboy,a541021,3081
haxxnini,a541021,2525
iiTzTimmy,a541021,937
ImperialHal__,a541021,1011
inkiiing,a541021,714
itsHafu,a541021,723
jeffnam1129,a541021,4982
jielun1215,a541021,503
JOEYKAOTYK,a541021,1069
kannachan524,a541021,1930
kentung,a541021,1497
Ko0416,a541021,3448
linfufu,a541021,2169
longwu1216,a541021,3871
LPL,a541021,702
lyon3k,a541021,665
mimiluckying,a541021,1051
mobilmobil,a541021,3492
momo_sports,a541021,1222
nein1203,a541021,3282
NeVeR_LosEs,a541021,3352
qttsix,a541021,1982
relaxing234,a541021,3789
restiafps,a541021,1800
roieee,a541021,1951
shuteye_orange,a541021,2897
sixwong,a541021,981
slrabbit99,a541021,1802
summit1g,a541021,505
sweetcampercs,a541021,3289
takesipon,a541021,3136
uzra,a541021,6327
waitou1117,a541021,4255
wayne75525,a541021,1637
woohankyung,a541021,1016
wtf_winds123,a541021,3095
xhibaoger,a541021,3001
xQc,a541021,686
yuniko0720,a541021,1453
zhiting_li,a541021,3240
zondalol,a541021,1075
zrush,a541021,2693
BLOU,Aa9skillz,611
Clix,Aa9skillz,582
Flight23white,Aa9skillz,597
iiTzTimmy,Aa9skillz,630
ImperialHal__,Aa9skillz,780
kaicenat,Aa9skillz,618
LIRIK,Aa9skillz,537
MuTeX,Aa9skillz,604
RatedEpicz,Aa9skillz,557
ROSHTEIN,Aa9skillz,737
runthefutmarket,Aa9skillz,5555
scump,Aa9skillz,975
sodapoppin,Aa9skillz,523
summit1g,Aa9skillz,1183
Swagg,Aa9skillz,1365
Symfuhny,Aa9skillz,710
Tyceno,Aa9skillz,1519
xQc,Aa9skillz,2135
zwebackhd,Aa9skillz,3534
Crystalst,AaronOnAir,1584
curvyelephant,AaronOnAir,1963
Denis3D,AaronOnAir,651
Jonthebroski,AaronOnAir,960
Kate,AaronOnAir,670
Kiva,AaronOnAir,616
Kyle,AaronOnAir,3363
kyliebitkin,AaronOnAir,2137
LunaOni,AaronOnAir,1534
Natsumiii,AaronOnAir,506
neutreN,AaronOnAir,1044
RatedEpicz,AaronOnAir,3011
sodapoppin,AaronOnAir,1116
Spaceboy,AaronOnAir,1342
xQc,AaronOnAir,2825
Ziggy,AaronOnAir,1289
109ace,aba4647,2222
2chamcham2,aba4647,2046
ajehr,aba4647,1478
Amouranth,aba4647,642
bbonge_,aba4647,628
beatberry_314,aba4647,645
ch1ckenkun,aba4647,1495
cherrypach,aba4647,643
chodan_,aba4647,1379
collet11,aba4647,611
ddahyoni,aba4647,3902
dogswellfish,aba4647,1610
dopa24,aba4647,4735
Faker,aba4647,3311
flamekr,aba4647,1383
flurry1989,aba4647,1853
gongparipa,aba4647,918
handongsuk,aba4647,9621
hanryang1125,aba4647,5558
haxxnini,aba4647,1195
heavyRainism,aba4647,705
hejin0_0,aba4647,1079
jdm2088,aba4647,593
jinu6734,aba4647,937
johnny3047258,aba4647,1434
kanetv8,aba4647,2472
kangqui,aba4647,531
kimdduddi,aba4647,557
kimdoe,aba4647,2221
kranichhs,aba4647,533
kss7749,aba4647,1165
leechunhyang,aba4647,705
liok0485,aba4647,1310
ljh0328,aba4647,1611
lol_ambition,aba4647,3356
lol_cuvee,aba4647,966
lol_woolf,aba4647,1046
looksam,aba4647,1724
lovelyyeon,aba4647,940
LPL,aba4647,1404
magenta62,aba4647,816
mlchoins,aba4647,623
nanajam777,aba4647,1109
naseongkim,aba4647,1074
nodolly,aba4647,1038
nokduro,aba4647,3817
obm1025,aba4647,3542
pacific8815,aba4647,5529
paka9999,aba4647,20321
pikra10,aba4647,7051
pjs9073,aba4647,2730
portialyn,aba4647,2146
qq102qq,aba4647,3486
rhffkddl96,aba4647,1582
rkdwl12,aba4647,528
rlgus1006,aba4647,3101
rooftopcat99,aba4647,1892
runner0608,aba4647,2676
saddummy,aba4647,3944
sah_yang,aba4647,569
sal_gu,aba4647,1444
sees360,aba4647,744
ses836,aba4647,1616
skswhdkgo1,aba4647,681
sn400ja,aba4647,572
snow_hite,aba4647,509
so_urf,aba4647,1305
sonycast_,aba4647,1373
sooflower,aba4647,1173
steelohs,aba4647,1552
surrenderhs,aba4647,990
tmxk319,aba4647,15492
torona1,aba4647,1856
TwitchPresentsKR,aba4647,738
valorant_kr,aba4647,667
wkgml,aba4647,1106
woohankyung,aba4647,1371
woowakgood,aba4647,3187
yapyap30,aba4647,5403
yumyumyu77,aba4647,2204
yunzinseok,aba4647,908
zilioner,aba4647,8268
zoodasa,aba4647,1115
zzamtiger0310,aba4647,858
AaronOnAir,AbdulHD,1203
Alinity,AbdulHD,558
Amouranth,AbdulHD,768
AnthonyZ,AbdulHD,6932
ash,AbdulHD,1925
Asmongold,AbdulHD,1501
Autumn,AbdulHD,768
Bazza,AbdulHD,604
biotox,AbdulHD,2545
buddha,AbdulHD,9194
Bustin,AbdulHD,10687
Carmen,AbdulHD,1096
Castro_1021,AbdulHD,2080
CathFawr,AbdulHD,1823
Cedduzzo,AbdulHD,5593
Chap,AbdulHD,543
CohhCarnage,AbdulHD,812
Crystalst,AbdulHD,2507
curvyelephant,AbdulHD,1852
Denis3D,AbdulHD,1095
DrIgo,AbdulHD,2248
EsfandTV,AbdulHD,1648
Farmhouse78,AbdulHD,570
Fextralife,AbdulHD,1094
freyzplayz,AbdulHD,579
Harry,AbdulHD,4239
Hirona,AbdulHD,2704
Hotted89,AbdulHD,2277
HutchMF,AbdulHD,3549
iddqd,AbdulHD,1352
ItsSammyP,AbdulHD,1249
Jinnytty,AbdulHD,663
Jonthebroski,AbdulHD,1337
Kate,AbdulHD,1196
Kiva,AbdulHD,793
Kiwo,AbdulHD,578
koil,AbdulHD,5054
Kongfue,AbdulHD,716
KristoferYee,AbdulHD,900
Kyle,AbdulHD,9353
kyliebitkin,AbdulHD,4195
lilypichu,AbdulHD,556
LIRIK,AbdulHD,1667
LunaOni,AbdulHD,1965
Lysium,AbdulHD,3435
MattRP,AbdulHD,1627
maximusblack,AbdulHD,959
MiltonTPike1,AbdulHD,915
Ming,AbdulHD,607
Mizkif,AbdulHD,1276
MOONMOON,AbdulHD,1185
Natsumiii,AbdulHD,539
neutreN,AbdulHD,1340
NICKMERCS,AbdulHD,830
Nidas,AbdulHD,3708
Nikolarn,AbdulHD,15686
Ninja,AbdulHD,794
Nmplol,AbdulHD,1939
PENTA,AbdulHD,4514
pokelawls,AbdulHD,1363
QTCinderella,AbdulHD,1469
Ramee,AbdulHD,8665
RatedEpicz,AbdulHD,7997
Ray__C,AbdulHD,4230
RealzBlueWater,AbdulHD,13247
ROSHTEIN,AbdulHD,776
SkipNhO,AbdulHD,6328
SkyshockTV,AbdulHD,3419
sodapoppin,AbdulHD,3408
Spaceboy,AbdulHD,2468
Ssaab,AbdulHD,5578
summit1g,AbdulHD,6184
Sykkuno,AbdulHD,3778
Symfuhny,AbdulHD,531
Tfue,AbdulHD,714
TheGeekEntry,AbdulHD,2327
Towelliee,AbdulHD,615
Trainwreckstv,AbdulHD,2242
UberHaxorNova,AbdulHD,1673
VALORANT,AbdulHD,950
Weak3n,AbdulHD,13096
Whippy,AbdulHD,5889
