Channel_Name,Language,Tags,Last Played Game,Game ID
ramez05,en,"['English', 'giveaway', 'Vtuber', 'Black', 'Filipino', 'PlayingwithViewers', 'Asian', 'LurkerFriendly', 'Blasian', 'oncehuman']",Once Human,1441208453
pokimane,en,"['English', 'cutiepatootie', 'PositiveMentalAttitude', 'ToxicStreamer', 'BADDIEGAMER', 'fps', 'Competitive']",Just Chatting,509658
pronoobicx,ru,"['Русский', 'ммр', 'mmrdota2', 'розыгрыш', 'dota2']",World of Warcraft,18122
ranboobutnot,en,['English'],The Battle Cats,490857
ranger,en,['English'],Fortnite,33214
reborn,es,"['Español', 'Reborn', 'rebornlive', 'Variety', 'conway', 'Variedad', 'Français', 'English']",Nowhere Near,397717812
pubgjapan,ja,"['日本語', 'パプジー', 'バトルロイヤル', 'PUBG', 'BATTLEGROUNDS', 'Esports', 'eスポーツ']",PUBG: BATTLEGROUNDS,493057
purpled,en,"['purpled', 'English']",Minecraft,27471
q158688920,zh,"['中文', 'SLG', 'gamer']",Just Chatting,509658
quickybaby,en,"['English', 'EU', 'Drop', 'drops', 'wot', 'DropsActive', 'DropsEnabled']",World of Tanks,27546
rainbow6de,de,"['Esports', 'rainbowsixsiege', 'Deutsch', 'DropsAktiviert']",Tom Clancy's Rainbow Six Siege,460630
raizqt,en,['English'],Path of Exile,29307
realzbluewater,en,"['varietystreamer', 'pet', 'dog', 'xqc', 'adinross', 'kaivenat', 'caseoh', 'english', 'English']",A Plague Tale: Requiem,1228709591
rekinss,it,"['rekins', 'fortnite', 'Italiano', 'valorant', 'rekinsgottalent']",VALORANT,516575
rumathra,de,['Deutsch'],Supermarket Together,942317893
rybsonlol_,pl,"['Niedowaga', 'Nerdzik', 'GayestManAlive', 'Polski', 'grzybiarz', 'Autism', 'LGTB', 'talerz5kg']",Just Chatting,509658
sanchovies,en,['English'],League of Legends,21779
sandbox_go,ko,"['Fortnite', 'LEGO', 'survival', '포트나이트', '레고', '서바이벌', '생존', '한국어']",Fortnite,33214
savyultras90,it,"['savyultras', 'warzone', 'wsow', 'italiandemons', 'challenge', 'Italiano', 'English']",Call of Duty: Warzone,512710
schwabbeltown,de,['Deutsch'],Hinter,1689465467
riotgamesru,ru,['Киберспорт'],League of Legends,21779
rezo,de,['Deutsch'],Just Chatting,509658
rhffkddl96,ko,['한국어'],Just Chatting,509658
rockstarcr,es,"['ClashRoyale', 'Ranked', 'Mexico', 'Latinoamerica', 'Español', 'comedia', 'humor', 'SquadBusters']",Clash Royale,491168
runthefutmarket,en,"['English', 'sports', 'soccer', 'Football']",EA Sports FC 24,143106037
saiiren,en,"['Vtuber', 'Asian', 'Chatty', 'comfy', 'Anime', 'English', 'ENVtuber', 'weeb', 'FirstPlaythrough', 'gacha']",Special Events,509663
sal_gu,ko,['한국어'],Just Chatting,509658
replays,en,"['English', 'Fortnite', 'ZeroBuild', 'FamilyFriendly']",Fortnite,33214
richard_hammer,en,['English'],Teamfight Tactics,513143
roshtein,en,['English'],Slots,498566
rubberross,en,['English'],Just Chatting,509658
s1032204,ko,"['삐부', '픽셀네트워크', '힐링캠프', '세라프', '한국어', '도넛단']",Just Chatting,509658
saintone,en,"['English', 'Community', 'of', 'Boomers', 'And', 'Lizard', 'People', 'wrrr']",Black Myth: Wukong,519291
rollingloud,en,"['English', 'Festival', 'Festivals']",Just Chatting,509658
rizzo,en,['English'],Rocket League,30921
rkdwl12,ko,['한국어'],Just Chatting,509658
rlgus1006,ko,"['롤', '챌린저', '한국어', '日本語']",Just Chatting,509658
roidie,en,['English'],Old School RuneScape,459931
roieee,zh,"['ALGS', '中文', '頂獵', 'pro']",Apex Legends,511224
rtgame,en,"['Irish', 'English', 'DriftKing']",Black Myth: Wukong,519291
sabaku_no_sutoriimaa,it,"['sabaku', 'Italiano']",Special Events,509663
retrogaijin,en,"['English', 'newplayer']",Just Chatting,509658
saltyteemo,en,['English'],League of Legends,21779
resttpowered,sk,"['Slovenčina', 'restt', 'Autism', 'ROGALO', 'Sadge', 'YOKEL']",Diablo IV,515024
rewinside,de,['Deutsch'],Just Chatting,509658
rkdthdus930,ko,['한국어'],League of Legends,21779
rnakano,pt,['Português'],Counter-Strike,32399
robn,en,"['PvP', 'Educational', 'MentalHealth', 'Funny', 'GoodVibes', 'Chill', 'English']",Arena Breakout: Infinite,401587136
ryuquezacotl,en,"['speedrunning', 'English']",Path of Exile,29307
sackzi,fr,['Français'],Call of Duty: Warzone,512710
relaxing234,zh,['中文'],League of Legends,21779
sapnaplive,en,['English'],Just Chatting,509658
rob2628,en,"['English', 'ARPG', 'Deutsch', 'Educational']",Diablo IV,515024
robbaz,en,['English'],Software and Game Development,1469308723
rraenee,tr,"['rraenee', 'rraene', 'Türkçe']",Just Chatting,509658
sabsdenada,pt,sabsdenada,Grand Theft Auto V,32982
sacriel,en,"['Educational', 'Analysis', 'KeyboardAndMouse', 'The42nd', 'Banter', 'British', 'Canadian', 'English', 'sniper', 'Stealth']",Delta Force,1282866981
samsaberi,en,"['persian', 'English']",Black Myth: Wukong,519291
riotgamesturkish,tr,"['Esports', 'Türkçe']",League of Legends,21779
