Channel_Name,Language,Tags,Last Played Game,Game ID
tanizen,es,"['Tanizen', 'KPIonTOP', 'KPI', 'Español', 'Rust', 'drops']",Grand Theft Auto V,32982
solary,fr,"['Français', 'Solary', 'Esport']",League of Legends,21779
spammiej,en,"['Dutch', 'Speedrun', 'Competitive', 'Esports', 'English']",Trackmania,687129551
spursito,es,['Español'],Just Chatting,509658
squeezie,fr,['Français'],VALORANT,516575
squishymuffinz,en,"['English', 'rocketleague', 'drops']",Multiplayer Platform Golf,1733701290
tado87,fr,['Français'],Grand Theft Auto V,32982
takesipon,zh,['中文'],Dead by Daylight,491487
sodtz,pt,"['LGBT', 'Português']",Just Chatting,509658
stableronaldo,en,['English'],Just Chatting,509658
stormen,en,['English'],Apex Legends,511224
stray228,ru,"['dota2', 'высокийскилл', 'адекватнаяатмосфера', 'хорошаямузыка', 'Proplayer', 'Обучение', 'mid', 'солевойстример', 'legend', 'Русский']",Dota 2,29595
sujagg,es,"['caster', 'fortnite', 'top', 'pro', 'torneo', 'Español', 'customs', 'drops', 'SujaGG', 'KOI']",Fortnite,33214
surrenderhs,ko,['한국어'],Hearthstone,138585
sovietwomble,en,['English'],Divinity: Original Sin II,490644
sparkofphoenixtv,de,"['sparkofphoenix', 'Deutsch', 'minecraft']",Minecraft,27471
speedgamingportugues,pt,"['Speedrun', 'Torneio', 'Português', 'Maratona', 'Retro']",Celeste,492535
spell316,en,"['beatmaking', 'ableton', 'maori', 'newzealand', 'musicproduction', 'IRL', 'Melbourne', 'English']",Just Chatting,509658
streamerhouse,en,"['English', 'AlwaysOn', 'LGBTQIA', 'Variety', 'Marathon', 'PlayingWithViewers', 'AMA', 'Community', 'TwitchOG']",Once Human,1441208453
swagg,en,['English'],Call of Duty: Warzone,512710
snowmixy,en,"['English', 'swedish']",World of Warcraft,18122
socialboomtv,it,['Italiano'],Just Chatting,509658
souzasoul,pt,"['Português', 'deadbydaylight', 'dbd']",Dead by Daylight,491487
strogo,ru,"['Германия', 'Русский']",Just Chatting,509658
surefour,en,"['English', 'god']",Black Myth: Wukong,519291
swehyt,en,['English'],Dead by Daylight,491487
sydeon,en,"['BlackBrilliance', 'English']",LOCKDOWN Protocol,144418804
sypherpk,en,"['English', 'battleroyale', 'PvP', 'Multiplayer']",Fortnite,33214
solorenektononly,en,"['Bald', 'GoblinMode', 'TopLane', 'English']",League of Legends,21779
soursweet,en,"['HeyEveryoneSourHere', 'Immersion', 'English']",DayZ,65632
soypan,es,"['Valorant', 'English', 'México', 'LATAM', 'Español']",VALORANT,516575
spoopykitt,en,"['Woman', 'flowarts', 'English', 'justchatting', 'Cosplay', 'dance', 'bikini']",Just Chatting,509658
staiy,de,"['Deutsch', 'Politik']",Counter-Strike,32399
stolenbr,pt,"['COD', 'FPS', 'BR', 'BattleRoyale', 'WARZONE', 'Português', 'monstro', 'gostoso', 'dicas', 'monster']",Escape from Tarkov,491931
superjj102,en,"['English', 'KEKW', 'BBoomer', 'Battlegrounds', 'OnlyBans', 'OccasionalSwearing']",Hearthstone,138585
sonecarox,pt,"['Português', 'slots']",Crypto,499634
supertf,en,"['FleshTuber', 'English']",Black Myth: Wukong,519291
sylveey,en,"['English', 'Cozy', 'IRL', 'OutdoorIRL', 'outside']",Fields of Mistria,1846293708
t90official,en,['English'],Age of Empires II,13389
speedmanq,ru,['Русский'],Dota 2,29595
surugamonkey0113,ja,"['日本語', '早口', '競馬', 'yoru']",Winning Post 10 2024,1409695616
sooflower,ko,"['한국어', '코스프레', 'infp', 'kpop', '수련수련', '한국서버', '댄스', '힙스터', '기타']",Just Chatting,509658
stevesuptic,en,['English'],Just Chatting,509658
sweet_anita,en,"['TouretteSyndrome', 'English']",Just Chatting,509658
sykkuno,en,"['English', 'Vtuber']",Black Myth: Wukong,519291
symfuhny,en,"['English', 'FPS', 'WZ', 'WZ3', 'Cod', 'Callofduty']",Call of Duty: Warzone,512710
tanxlive,th,"['ภาษาไทย', 'ไทย', 'FPS', 'myheroultrarumble', 'MHUR']",Minecraft,27471
sonycast_,ko,"['한국어', '공포게임']",Just Chatting,509658
speedrunsespanol,es,"['speedrun', 'Español']",Portal,1419045868
sweatcicle,en,['English'],Black Myth: Wukong,519291
solaryhs,fr,['Français'],Hearthstone,138585
spaceboy,en,"['ExtremelyCool', 'CarNerd', 'Old', 'JamesRandal', 'PatDowning', 'TheBestAtRoleplay', 'English', 'SpaceboyClips']",Black Myth: Wukong,519291
ssaab,en,"['Roleplay', 'Cringe', 'Suffering', 'Dankgamer', 'NegativeSpeech', 'ESL', 'Drama', 'UnitedStates', 'English']",Delta Force,1282866981
summit1g,en,['English'],Grand Theft Auto V,32982
sushint,fr,['Français'],Among Us,510218
sweetdreams,en,"['GoingInsane', 'Help', 'English']",Apex Legends,511224
swimstrim,en,swimstrim,Just Chatting,509658
solidfps,en,['English'],Black Myth: Wukong,519291
spyro_za,en,"['English', 'Competitive', 'DropsEnabled']",Marvel Snap,1743359147
srserpiente,es,"['Español', 'survival', 'hardcore', 'indie', 'shooter', 'helldivers2', 'srserpiente', 'drops', 'deltaforcehawkops', 'arenabreakoutinfinite']",Special Events,509663
starsmitten,en,"['waaa', 'English', 'sponsored', 'drops', 'DropsEnabled']",Pokémon Trading Card Game,9618
stylerz,de,['Deutsch'],Call of Duty: Warzone,512710
suetam1v4,pt,"['Português', 'Humor', 'Brasil', 'Brazil', 'Portugal']",Just Chatting,509658
tanzverbot,de,"['Deutsch', 'reaction', 'berlin', 'tanzverbot', 'IRL', 'irlstream']",Just Chatting,509658
tapl,en,['English'],Minecraft,27471
stopgameru,ru,['Русский'],Special Events,509663
summonersinnlive,de,"['Esports', 'Deutsch']",League of Legends,21779
suri,hu,"['GTARP', 'GalaxyRP', 'Magyar']",Just Chatting,509658
sweepsgg,en,sweepsgg,Music,26936
takulz,en,takulz,takulz,takulz
taylor_jevaux,en,"['English', 'LGBTＱ', 'Female', 'Anime']",Just Chatting,509658
tcec_chess_tv,en,['English'],Chess,743
tealzlol,pt,"['Português', 'proplayer', 'emo', 'terror', 'MOBA', 'celular', 'HighEloGameplay']",Black Myth: Wukong,519291
teegrizzley,en,['English'],Grand Theft Auto V,32982
teknoyd,it,"['italiano', 'openeworld', 'Avventure', 'giocodiruolo', 'Roleaplay', 'Italiano', 'RP']",Grand Theft Auto V,32982
tenha,en,"['English', 'Anime']",League of Legends,21779
tsm_viss,en,"['FPS', 'Interactive', 'BR', 'Shooter', 'Wolfpack', 'Viss', 'TSM', 'battleroyale', 'English']",Delta Force,1282866981
teepee,en,"['teep', 'teepee', 'callofduty', 'optic', 'English', 'fps', 'battleroyale', 'mw3', 'warzone']",Call of Duty: Warzone,512710
thestockguy,en,"['English', 'stocks', 'crypto', 'Educational', 'Veteran', 'ADHD', 'Indian', 'Boomer', 'Furry', 'bored']",Just Chatting,509658
toeiii,th,"['ไทย', 'ภาษาไทย']",Dota 2,29595
tommyinnitalt,en,['English'],Just Chatting,509658
tpain,en,['English'],Contraband Police,510202
trick2g,en,"['English', 'LeagueofLegends', 'UdyrMain', 'Volibear', 'Udyr', 'soloqueue', 'HighEloGameplay']",League of Legends,21779
tubbolive,en,['English'],Just Chatting,509658
topsonous,en,['English'],Dota 2,29595
tarik,en,['English'],VALORANT,516575
tarzaned,en,['English'],League of Legends,21779
tgltn,en,"['FPS', 'PUBG', 'Esports', 'Pro', 'SlightlyAboveAverageIQ', 'OCE', 'Oceania', 'Australian', 'English', 'PGS4']",PUBG: BATTLEGROUNDS,493057
thebubbaarmy,en,"['comedy', 'radio', 'thebubbaarmy', 'bubbathelovesponge', 'English', 'bubbaarmy', 'bubbathelovesponge', 'thebubbaarmy', 'thebubbaarmy']",Just Chatting,509658
therunningmanz,en,"['Survival', 'PVP', 'English', 'UK']",DayZ,65632
tiburci0,pt,"['aulas', 'csgo', 'cs', 'cs2', 'Português', 'skins', 'sorteio', 'loja', 'drops', 'faceit']",Counter-Strike,32399
timbo,de,"['Rollenspiel', 'Deutsch', 'Taktik', 'noobie', 'DropsAktiviert']",Sea of Thieves,490377
tteuw,pt,['Português'],VALORANT,516575
thekller,de,['Deutsch'],Lethal Company,2085980140
tmxk319,ko,['한국어'],Minecraft,27471
tradersamwise,en,['English'],Crypto,499634
trainwreckstv,en,"['English', 'caseopening', 'CS2']",Counter-Strike,32399
tru3ta1ent,en,"['competitive', 'analysis', 'teaching', 'viewerbuilds', 'English', 'British', 'Horror', 'BlackMythWukong', 'Blackmyth', 'wukong']",Black Myth: Wukong,519291
tecone,tr,['Türkçe'],Virtual Casino,29452
the_happy_hob,en,"['Zoomer', 'Relatable', 'English', 'Vtuber', 'Anime']",ELDEN RING,512953
thechief1114,en,"['LastStream', 'English', 'AnkylosingSpondylitis']",Black Myth: Wukong,519291
therealmarzaa,it,"['Italiano', 'English', 'Barese']",Just Chatting,509658
timthetatman,en,timthetatman,timthetatman,timthetatman
tixinhadois,pt,"['Português', 'valorant', 'Tixinha', 'Emea', 'americas', 'cypher', 'Leviatan']",VALORANT,516575
team_spiritzero,ko,"['한국어', '토너먼트', 'Tournament', 'FGC', 'CCX', '캡콤컵']",Street Fighter 6,55453844
tetristhegrandmaster3,zh,['中文'],DARK SOULS II: Scholar of the First Sin,489170
th3antonio,es,"['TOPLANER', 'uwu', 'peluquillas', 'Español', 'CHALLENGER', 'TH3LEC']",League of Legends,21779
thedeluxe4,en,['English'],LOCKDOWN Protocol,144418804
thegeekentry,en,"['Community', 'ChillVibes', 'Canada', 'Reactions', 'English', 'AMA', 'giveaway', 'rizz', 'BRAINROT']",Just Chatting,509658
thump,en,"['THump', 'Valorant', 'Rage', 'ADHD', 'English', 'Positivity', 'funny', 'bald', 'radiant', 'tenz']",VALORANT,516575
tinakitten,en,"['English', 'dum']",Just Chatting,509658
tranth,ko,"['한국어', '고양이', 'DJ']",Finding Anastasia,203773838
trashtalkfr,fr,['Français'],Sports,518203
tuonto,en,"['tuonto', 'interlockingtoes', 'anime', 'Depression', 'Unholy', 'notkidfriendly', 'Vietnamese', 'Strinova', 'English', 'Pen15Club']",osu!,21465
teosgame,en,"['English', 'Sweden']",Just Chatting,509658
thdlock,en,['English'],World of Warcraft,18122
thisisnotgeorgenotfound,en,thisisnotgeorgenotfound,Minecraft,27471
tinkerleo,de,"['Kochen', 'justchatting', 'indie', 'community', 'gemütlich', 'safespace', 'irl', 'deutsch', 'Deutsch']",Counter-Strike,32399
tomato,en,"['English', 'TerminallyAverage', 'PowertrippingMods', 'PainfullyUnfunnyStreamer', 'ComedyDiesHere', 'GodSupportsHimIronically', 'AbsolutelyFoulVibes', 'UnfitForFamilies', 'AskMeAboutMyFrogVoice']",Lobotomy Corporation,457724187
torona1,ko,['한국어'],Just Chatting,509658
tectone,en,"['LOUD', 'BALD', 'AUTISM', 'English']",Just Chatting,509658
thedandangler,en,"['UK', 'Australia', 'egirl', 'woman', 'English', 'girl', 'Italy', 'IRL', '420', 'bikini']","Pools, Hot Tubs, and Beaches",116747788
themystic7hwd,en,['English'],Pokémon Trading Card Game,9618
thomefn,pt,"['Português', 'Brasil', 'Competitivo']",Fortnite,33214
timmac,en,"['Roleplay', 'English', 'NoPixel', 'ProdigyRP']",Grand Theft Auto V,32982
tonton,fr,"['Éducatif', 'Français', 'Digresseurprofessionnel']",Black Myth: Wukong,519291
toqtir,tr,['Türkçe'],WWE 2K23,1040463021
torro,de,"['crazy', 'RP', 'Retro', 'gaming', 'songs', 'music', 'funny', 'Deutsch', 'justchatting']",Arena Breakout: Infinite,401587136
trymacs,de,['Deutsch'],League of Legends,21779
taxi2g,en,"['TRASH', 'SchizoMode', 'LoudisFunny', 'ToxicStream', 'GAMINGGOLEMJUICERMEGAMAN', 'aimbotting', 'AimAssistOff', 'passion', 'apexlegends', 'Vtuber']",Apex Legends,511224
tenz,en,"['English', 'Anime', 'FPS']",Just Chatting,509658
tolkin,de,"['Deutsch', 'English']",League of Legends,21779
tommykaylive,en,"['Roleplay', 'eSports', 'Variety', 'Comedy', 'English', 'Minority', 'bald', 'alpha', 'technocrat', 'thegoat']",Warcraft III,12924
tenekekafalar_tk,tr,['Türkçe'],Just Chatting,509658
theguill84,fr,"['Minecraft', 'Français', 'Guill', 'aigri', 'TheGuill84', 'TheGuil', 'Mauvaisjoueur', 'Râleur']",Minecraft,27471
thejrm_,en,"['ADHD', 'English']",Dead by Daylight,491487
thenicolet,en,['English'],Fortnite,33214
traytonlol,fr,"['Chokbar', 'English', 'Challenger', 'Brakmar', 'Francais', 'Français']",League of Legends,21779
trilltko,en,['English'],World of Warcraft,18122
taspio,pt,['Português'],Just Chatting,509658
thealvaro845,es,['Español'],Squad Busters,788447527
thedarkness,pt,"['english', 'csgo', 'cs', 'fortnite', 'Drop', 'FortniteStreamer', 'zerobuild', 'warzone', 'mw3', 'cod']",Call of Duty: Warzone,512710
tommey,en,"['English', 'Warzone', 'CallofDuty', 'CoD', 'Tommey', 'WZ']",Slots,498566
tubbo,en,"['English', 'tubtime', 'qsmp', 'TubNet', 'sussexgamer']",IRL,509672
tsm_theoddone,en,"['English', 'HardMode']",HELLDIVERS 2,766571430
teamsp00ky,en,"['Fgc', 'tekken8', 'streetfighter6', 'mortalkombat1', 'mk1', 't8', 'sf6', 'fightinggamenews', 'FightingGameCommunity', 'English']",2XKO,774680424
thebausffs,en,"['messi', 'English', 'Speedrun']",League of Legends,21779
theboisantana,en,"['firstplaythrough', 'nosummons', 'English']",Call of Duty: Warzone,512710
theviper,en,"['English', 'aoe2', 'theviper', 'aoe2DE', 'ageofempires']",Age of Empires II,13389
thijs,en,['English'],Hearthstone,138585
tobias,fr,"['humour', 'chill', 'gaming', 'react', 'Français', 'live', 'irl', 'vlog']",Just Chatting,509658
tpabomah,ru,"['Бородач', 'Русский']",Sid Meier's Civilization VII,414822821
tfblade,en,"['English', 'Rank1', 'Toplaner']",League of Legends,21779
tfue,en,"['English', 'Fortnite']",Just Chatting,509658
titodami,es,"['Español', 'DropsActivados']",Rust,263490
tntsportsbr,pt,"['tntsportsbr', 'futebol', 'Português', 'championsleague', 'ligadoscampeoes', 'psg', 'realmadrid', 'haaland', 'vinijr']",Talk Shows & Podcasts,417752
trymacskaktuskoenig,de,['Deutsch'],Minecraft,27471
thegrefg,es,"['grefg', 'thegrefg', 'Heretics', 'Español', 'Saiyans', 'Esland']",League of Legends,21779
therealknossi,de,['Deutsch'],Baller League,423594505
trinity,fr,"['Français', 'Voyage', 'vanlife', 'roadtrip', 'travel', 'IRL', 'vlog']",IRL,509672
tumblurr,it,['Italiano'],Just Chatting,509658
thebenbig,fr,"['Français', 'PvP', 'Roleplay']",Grand Theft Auto V,32982
tiagovski555yt,pt,"['GTARP', 'tiagovski', 'vski', 'csgo', 'Português']",Just Chatting,509658
tiankami,ru,"['Русский', 'АрхонтРогаликов', 'БезМата']",Retro,27284
tobiasfate,en,['English'],League of Legends,21779
towelliee,en,"['English', 'Cuban', 'MMORPG', 'WorldofWarcraft', 'tww', 'tankmain', 'tank']",World of Warcraft,18122
trilluxe,de,"['GlobalElite', 'CSGO', 'CS2', 'TrilluXe', 'English', 'Deutsch']",Special Events,509663
thaldrinlol,tr,['Türkçe'],League of Legends,21779
tommyinnit,en,['English'],Just Chatting,509658
truegeordie,en,"['football', 'boxing', 'English']",Sports,518203
uthenera,tr,['Türkçe'],Teamfight Tactics,513143
valorant_jpn,ja,"['Esports', 'VALORANT', '日本語']",VALORANT,516575
wayne75525,zh,wayne75525,Just Chatting,509658
umggaming,en,['Esports'],Gears 5,506407
unsanitylive,en,"['Canada', 'TwitchOG', 'JTV', 'English', 'Comedy']",Voices of the Void,1330093788
videoyun,tr,"['Türkçe', 'Turkish', 'LOKY']",Just Chatting,509658
wardell,en,"['Chinese', 'Asian', 'radiant', 'ASMR', 'sadness', 'DemonTime', 'HotTubStreamWithoutTheTub', 'English', 'ThiccGamerGirl', 'edater']",VALORANT,516575
weplaycsgo,en,"['Esports', 'English']",Counter-Strike,32399
wirtual,en,"['English', 'Racing', 'Speedrun', 'Challenge', 'Sweden', 'Norway']",Trackmania,687129551
wkgml,ko,"['장미', '한국어']",wkgml,wkgml
woowakgood,ko,['한국어'],Just Chatting,509658
uhsnow,en,"['English', 'Roleplay', 'RP', 'fps', 'Space', 'NoPixel', 'GTARP']",Grand Theft Auto V,32982
urbanaplayfm,es,"['Radio', 'Español', 'vivo', 'urbana', 'play', '1043', 'argentina', 'buenos', 'aires']",Just Chatting,509658
wagnificent,en,"['warzone', 'br', 'English', 'NUKES', 'mw3', 'BattleRoyaleMode']",Call of Duty: Warzone,512710
twitchpresentskr,ko,"['같이보기스트리머', '애니메이션']",Art,509660
vysotzky,pl,"['MOBA', 'LOL', 'XI', 'Polski']",League of Legends,21779
velox,it,"['warzone', 'callofduty', 'ita', 'velox', 'Italiano']",Grand Theft Auto V,32982
vgumiho,en,"['vGumiho', 'NoBackseating', 'English', 'Japanese', 'Minecraft']",VALORANT,516575
whitespaa,en,['English'],ASMR,509659
wingz,es,['Español'],Slots,498566
unlostv,tr,['Türkçe'],VALORANT,516575
vei,en,"['Vtuber', 'VisualASMR', 'vei', 'real', 'female', 'agirlandagamerwhoamama', 'humminahumminabazoooooing', 'English', 'awooga']",Just Chatting,509658
unclebjorn,ru,"['ЛеснаяБратва', 'Русский']",Viking Rise,987025231
wintergaming,en,"['Chill', 'Salt', 'Drama', 'NoNerds', 'Sellout', 'AngryCoach', 'English']",StarCraft II,490422
twaryna,uk,"['Ukraine', 'Герої', 'тшарупа', 'Heroes3', 'Duel', 'Rockabilly', 'Psychobilly', 'StandWithUkraine', 'Українська']",Heroes of Might and Magic III: The Restoration of Erathia,12839
twitchrivals,en,"['TwitchRivals', 'English', 'Gaming']",Fortnite,33214
weak3n,en,"['667', 'ego', '5head', 'worldchampion', 'coachbro', 'English']",Escape from Tarkov,491931
x2twins,en,['English'],Minecraft,27471
vadeal,de,"['English', 'Deutsch', 'Wave', 'eSport', 'FNCSCHAMP', 'Vadeal', 'Grands', 'FNCS']",Fortnite,33214
valeria7k,en,"['IRL', 'AMA', 'Bisexual', 'VisualASMR', 'Girl', 'Woman', 'English']",Just Chatting,509658
vlesk,de,"['Deutsch', 'Gaming', 'Multiplayer', 'Cooperative', 'Variety', 'Vlesk']",Just Chatting,509658
willneff,en,['English'],Pokémon Scarlet/Violet,670867987
wolfabelle,en,"['cringe', 'roleplay', 'depression', 'british', 'adhd', 'WOMAN', 'UwU', 'variety', 'LGBT', 'English']",Black Myth: Wukong,519291
wudijo,en,"['diablo', 'D4', 'ARPG', 'PoE', 'educational', 'competitive', 'Diablo4', 'Diablo3', 'English', 'LastEpoch']",Diablo IV,515024
valorant_la,es,"['Español', 'valorant', 'Esports', 'shooters', 'Valo', 'valorant']",VALORANT,516575
vinnie,en,['English'],League of Legends,21779
westcol,es,['Español'],Minecraft,27471
willerz,en,"['English', 'chad', 'Friendly', 'Parkour', 'comedy', 'action', 'FPS', 'multiplayer']",Escape from Tarkov,491931
withzack,es,['Español'],ELDEN RING,512953
wearethevr,hu,['Magyar'],Talk Shows & Podcasts,417752
welyn,en,"['English', 'gamer']",Escape from Tarkov,491931
whippy,en,"['english', 'roleplay', 'English']",Grand Theft Auto V,32982
wingsofdeath,en,"['HotTub', 'Drops', 'ASMR', 'English', 'VTuber', 'Top']",Black Myth: Wukong,519291
unsympathisch_tv,de,['Deutsch'],Just Chatting,509658
valorant_br,pt,"['Esports', 'português', 'Português']",VALORANT,516575
valorant_kr,ko,"['e스포츠', '발로란트', 'VCT', '한국어', '챔피언스', 'valorant', '체인저스', 'changers']",VALORANT,516575
werlyb,es,['Español'],Black Myth: Wukong,519291
unboxholics,en,"['unboxholics', 'horrornight', 'uh', 'uhhorror', 'English']",unboxholics,unboxholics
unicornio,es,"['Español', 'IRL', 'Charlas', 'Reacciónes', 'Variedad']",Just Chatting,509658
warframe,en,"['warframe', 'English', 'DropsEnabled']",Warframe,66170
winghaven,es,['Español'],Call of Duty: Warzone,512710
woohankyung,ko,['한국어'],Just Chatting,509658
wtf_winds123,zh,"['中文', '帥臉', '勤奮主播', '技術路線', '手遊', '超級幸運']",Black Myth: Wukong,519291
twayko,es,['Español'],Slots,498566
voodoosh,ru,['Русский'],Tournament Poker,3151
tyler_ygg,en,"['English', 'BackseatingAllowed']",Parallel,1931912067
vaporadark,en,"['English', 'leagueoflegends', 'adc', 'aphelios']",League of Legends,21779
vicens,es,"['Español', 'Fortnite']",Fortnite,33214
voyboy,en,voyboy,League of Legends,21779
wackyjacky101,en,"['BattleRoyale', 'English']",PUBG: BATTLEGROUNDS,493057
waitou1117,zh,['中文'],Grand Theft Auto V,32982
twitchsports,en,"['sports', 'English', 'GameShow', 'olympicgames', 'IRL']",Sports,518203
tyceno,en,['English'],TopSpin 2K25,145906249
twitchfarming,de,"['Vlog', 'Drohne', 'Drone', 'Farmer', 'Farming', 'Traktor', 'Deutsch']",Just Chatting,509658
ultia,fr,['Français'],Cyberpunk 2077,65876
valorant,en,"['Esports', 'VCT', 'English', 'VALORANTChampionsTour', 'ChampionsTour', 'Champions', 'VALORANTChampions', 'DropsEnabled']",VALORANT,516575
vargskelethor,en,"['fecalfunny', 'gamer', 'monke', 'snusk', 'vargP', 'badEnglish', 'English']",Teardown,514795
venruki,en,['English'],World of Warcraft,18122
vercetti,en,"['Vercetti', 'gta', 'English', 'WindyCityRp', 'fivem', 'WindyCity', 'FiveMRolePlay', 'GTARPLIVE']",Grand Theft Auto V,32982
tvander,es,"['Español', 'KOI', 'ander', 'masonería', '33', 'melons']",League of Legends,21779
twincytv,fr,['Français'],Grand Theft Auto V,32982
warchiwar,es,"['Español', 'SMITEPartner', 'SMITE', 'Ranked', 'DropsActivados']",SMITE,32507
warcraft,en,"['Warcraft', 'Esports', 'English', 'WorldofWarcraft']",World of Warcraft,18122
wardiii,en,"['Esports', 'English']",StarCraft II,490422
welovegames,ru,"['русский', 'IRL', 'игры', 'новинки', 'юмор', 'общение', 'Русский', 'разговоры']",Black Myth: Wukong,519291
vivalafazza,it,"['Italiano', 'clown', '025']",Black Myth: Wukong,519291
wankilstudio,fr,"['Français', 'DropsActivés']",Hunt: Showdown 1896,500188
whaazz,en,"['PvP', 'Arena', 'Rogue', 'Warrior', 'Monk', 'Druid', 'English', 'DemonHunter', 'Evoker']",World of Warcraft,18122
wilbursoot,en,['English'],Minecraft,27471
x6flipin,es,"['flipin', 'faceit', 'TGD', 'Español', 'source2', 'counterstrike2', 'cs2', 'premier']",Counter-Strike,32399
uzra,zh,['中文'],Black Myth: Wukong,519291
versuta,ru,['Русский'],Dota 2,29595
uberhaxornova,en,['English'],Just Chatting,509658
uselessmouth,ru,['Русский'],StarCraft II,490422
vanotica_,th,"['ไทย', 'DooWhite', 'ภาษาไทย', 'AttackAllAround', 'WhatCity']",Grand Theft Auto V,32982
vgbootcamp,en,"['Esports', 'English', 'Competitive', 'FGC', 'smashbros', 'Smashbrosultimate', 'Esport', 'SuperSmashBrosUltimate', 'SuperSmashBros', 'fightinggames']",Super Smash Bros. Ultimate,504461
viperdemon,th,"['valorant', 'viperdemon', 'z11', 'ไทย', 'ภาษาไทย']",Teamfight Tactics,513143
vitapvpey,fr,['Français'],vitapvpey,vitapvpey
twitchkr,ko,"['justchatting', '한국어']",Just Chatting,509658
tyongeee,en,"['korean', 'kpop', 'Dance', 'Travel', 'irl', 'English', 'cute']",Just Chatting,509658
vovo,pt,"['Português', 'CPX', 'Humor', 'Panela', 'Sobrevivência', 'react', 'ETS2', 'simuladores', 'FS22', 'FarmingSimulator22']",Grand Theft Auto V,32982
wtcn,tr,"['Türkçe', 'DroplarEtkin']",VALORANT,516575
wingo,fr,"['Plaisir', 'Partage', 'Poule', 'Energie', 'Humour', 'Cracotte', 'Drops', 'Français', 'ZLAN']",DREDGE,1581126534
wismichu,es,['Español'],ELDEN RING,512953
witwix,en,"['EsotericGamingForGeniuses', 'MeLikeVideoGames', 'DrippingGrease', 'AlabamaHammaSlamma', 'English']",HITMAN World of Assassination,1780647523
wolfeyvgc,en,['English'],Pokémon Scarlet/Violet,670867987
worldofwarships,ja,"['CommunityEngagement', 'Community', 'DropEnabled', 'WorldofWarships', 'Japanese', '日本語']",World of Warships,32502
valle,de,"['GrandTheftAuto5', 'RollenSpiel', 'Deutsch', 'Roleplay', 'Homestate', 'HS']",Grand Theft Auto V,32982
weathernewslive,ja,['日本語'],Talk Shows & Podcasts,417752
xo_trixy,fr,"['gaming', 'humour', 'Français', 'multijoueur', 'dresstoimpress', 'mode', 'outfit', 'roblox', 'compétition']",Just Chatting,509658
youngmulti,pl,"['Polski', 'YFL', 'YoungMulti', 'Muzyka']",Just Chatting,509658
yourpelagea,en,yourpelagea,ASMR,509659
zzamtiger0310,ko,['한국어'],Just Chatting,509658
ydcb,en,"['Comedy', 'clown', 'circus', 'epicseven', 'gacha', 'positivity', 'lucky', 'helpful', 'English']",Counter-Strike,32399
zakl1k,pt,"['Português', 'Minecraft']",Minecraft,27471
zeko,es,"['Español', 'Fortnite', 'zEkO']",Fortnite,33214
zizaran,en,"['English', 'ARPG', 'Sarcastic', 'PvE', 'Norwegian', 'Belfast', 'CoStream', 'Floating', 'Crab', 'HeraldfortheCrabGod']",Path of Exile,29307
xcry,es,['Español'],Just Chatting,509658
xnapycz,cs,"['Čeština', 'leagueoflegends']",League of Legends,21779
ybicanoooobov,ru,"['Русский', 'высокийскилл']",Dota 2,29595
yomax,fr,"['Football', 'fifa', 'foot', 'Français', 'eafc24', 'EASportsFC', 'EAFC']",EA Sports FC 24,143106037
yumyumyu77,ko,['한국어'],Just Chatting,509658
zapman,en,"['English', 'SMITE', 'DropsEnabled']",SMITE,32507
zerkaa,en,['English'],London 2012: The Official Video Game,33845
zigueira,pt,['Português'],Arena Breakout: Infinite,401587136
znebtv,th,"['ไทย', 'ภาษาไทย']",Dead by Daylight,491487
xargon0731,zh,"['中文', '六都最老選手']",Black Myth: Wukong,519291
yamatonjp,ja,"['日本語', '広告なし']",Escape from Tarkov,491931
yoowooyang,ko,"['한국어', '브이튜버']",Escape from Tarkov,491931
yumytv,en,['English'],World of Warcraft,18122
zanki0h,fr,['Français'],zanki0h,zanki0h
zony,pl,"['Polski', 'ZONY', 'LGBTFriendly', 'Fortnite']",Just Chatting,509658
zubatlel,en,"['joel', 'Ally', 'GIGASOY', 'cats', 'English', 'xdd']",Dead by Daylight,491487
xhibaoger,zh,"['中文', '한국어']",Just Chatting,509658
xthesolutiontv,de,"['Gaming', 'streaming', 'Multiplayer', 'Deutsch']",Just Chatting,509658
yapyap30,ko,"['한국어', 'just', 'justchatting', 'justchatting']",League of Legends,21779
yetz,pt,"['Português', 'leagueoflegeneds', 'CBLOL', 'DropsAtivados']",Guild Wars 2,19357
yourfriendkyle,en,"['mlbtheshow', 'yourfriendkyle', 'yfk', 'Baseball', 'English', 'sleep', 'Golf', 'golfing', 'IRL', 'sports']",MLB The Show 24,1185403782
yourragegaming,en,['English'],Just Chatting,509658
zed99_lol,ko,"['한국어', 'English', '율천고', '율천고최현우']",League of Legends,21779
zok3r,es,"['zok3r', 'valorant', 'radiant', 'jett', 'operator', 'Español']",VALORANT,516575
zoodasa,ko,['한국어'],Just Chatting,509658
zormanworld,es,"['Español', 'Retro']",Just Chatting,509658
xari,fr,['Français'],Just Chatting,509658
xlice,en,"['Vtuber', 'Gacha', 'English']",Genshin Impact,513181
yayahuz,pt,"['Português', 'LOUD']",Just Chatting,509658
yuggie_tv,en,['English'],Just Chatting,509658
zakvielchannel,ru,"['Русский', 'Аниме', 'Майншилд4']",Voices of the Void,1330093788
zerobadass,pt,['Português'],Gartic,496661
